WELLMODEL,DRAWDOWN,PRESSURE,CONJPOS,WELL,CONBPRES,CONKPOS,SGAS,SWAT,DEPTH,DATE,CONIDX,CONIPOS
STANDARD,0,304.70025634765625,20,R_A5,304.70025634765625,6,0.0,1.0,1694.061279296875,2018-01-01,6,31
STANDARD,0,305.20172119140625,20,R_A5,305.20172119140625,7,0.0,1.0,1696.126220703125,2018-01-01,7,31
STANDARD,0,305.5809326171875,21,R_A5,305.5809326171875,11,0.0,1.0,1703.3531494140625,2018-01-01,8,31
STANDARD,0,305.76654052734375,21,R_A5,305.76654052734375,12,0.0,1.0,1705.3115234375,2018-01-01,9,31
STANDARD,0,305.964111328125,21,R_A5,305.964111328125,13,0.0,1.0,1707.269775390625,2018-01-01,10,31
STANDARD,0,306.1496887207031,21,R_A5,306.1496887207031,14,0.0,1.0,1709.2281494140625,2018-01-01,11,31
STANDARD,0,306.3352966308594,21,R_A5,306.3352966308594,15,0.0,1.0,1711.1864013671875,2018-01-01,12,31
STANDARD,0,306.6658935546875,21,R_A5,306.6658935546875,16,0.0,1.0,1713.144775390625,2018-01-01,13,31
STANDARD,0,306.847412109375,21,R_A5,306.847412109375,17,0.0,1.0,1715.0599365234375,2018-01-01,14,31
STANDARD,0,306.9801940917969,21,R_A5,306.9801940917969,18,0.0,1.0,1716.4609375,2018-01-01,15,31
STANDARD,0,306.9781188964844,21,R_A5,306.9781188964844,24,0.0,1.0,1718.0968017578125,2018-01-01,16,31
STANDARD,0,307.185546875,21,R_A5,307.185546875,25,0.0,1.0,1720.28564453125,2018-01-01,17,31
STANDARD,0,307.69879150390625,21,R_A5,307.69879150390625,26,0.0,1.0,1722.474365234375,2018-01-01,18,31
STANDARD,0,307.90625,21,R_A5,307.90625,27,0.0,1.0,1724.6632080078125,2018-01-01,19,31
STANDARD,0,308.11370849609375,21,R_A5,308.11370849609375,28,0.0,1.0,1726.85205078125,2018-01-01,20,31
STANDARD,0,305.0447998046875,42,R_A6,305.0447998046875,1,0.0,1.0,1694.4703369140625,2018-01-01,1,17
STANDARD,0,305.1903991699219,42,R_A6,305.1903991699219,2,0.0,1.0,1696.006591796875,2018-01-01,2,17
STANDARD,0,305.33599853515625,42,R_A6,305.33599853515625,3,0.0,1.0,1697.54296875,2018-01-01,3,17
STANDARD,0,305.4815673828125,42,R_A6,305.4815673828125,4,0.0,1.0,1699.0792236328125,2018-01-01,4,17
STANDARD,0,305.6271667480469,42,R_A6,305.6271667480469,5,0.0,1.0,1700.6156005859375,2018-01-01,5,17
STANDARD,0,305.77276611328125,42,R_A6,305.77276611328125,6,0.0,1.0,1702.15185546875,2018-01-01,6,17
STANDARD,0,305.6192932128906,42,R_A6,305.6192932128906,7,0.0,1.0,1703.6881103515625,2018-01-01,7,17
STANDARD,0,305.764892578125,42,R_A6,305.764892578125,8,0.0,1.0,1705.2244873046875,2018-01-01,8,17
STANDARD,0,306.2095642089844,42,R_A6,306.2095642089844,9,0.0,1.0,1706.7607421875,2018-01-01,9,17
STANDARD,0,306.0493469238281,42,R_A6,306.0493469238281,10,0.0,1.0,1708.2969970703125,2018-01-01,10,17
STANDARD,0,306.2298278808594,42,R_A6,306.2298278808594,11,0.0,1.0,1710.1998291015625,2018-01-01,11,17
STANDARD,0,306.4449157714844,42,R_A6,306.4449157714844,12,0.0,1.0,1712.4693603515625,2018-01-01,12,17
STANDARD,0,306.6719665527344,42,R_A6,306.6719665527344,13,0.0,1.0,1714.7388916015625,2018-01-01,13,17
STANDARD,0,306.8870544433594,42,R_A6,306.8870544433594,14,0.0,1.0,1717.0084228515625,2018-01-01,14,17
STANDARD,0,307.1021423339844,42,R_A6,307.1021423339844,15,0.0,1.0,1719.2779541015625,2018-01-01,15,17
STANDARD,0,307.4622497558594,42,R_A6,307.4622497558594,16,0.0,1.0,1721.5474853515625,2018-01-01,16,17
STANDARD,0,307.6773376464844,42,R_A6,307.6773376464844,17,0.0,1.0,1723.8170166015625,2018-01-01,17,17
STANDARD,0,307.8307189941406,42,R_A6,307.8307189941406,18,0.0,1.0,1725.435302734375,2018-01-01,18,17
STANDARD,0,307.8006896972656,42,R_A6,307.8006896972656,24,0.0,1.0,1726.7760009765625,2018-01-01,19,17
STANDARD,0,307.9631652832031,42,R_A6,307.9631652832031,25,0.0,1.0,1728.490234375,2018-01-01,20,17
STANDARD,0,308.43145751953125,42,R_A6,308.43145751953125,26,0.0,1.0,1730.20458984375,2018-01-01,21,17
STANDARD,0,308.59393310546875,42,R_A6,308.59393310546875,27,0.0,1.0,1731.9189453125,2018-01-01,22,17
STANDARD,0,308.45062255859375,42,R_A6,308.45062255859375,28,0.0,1.0,1733.6331787109375,2018-01-01,23,17
STANDARD,0,299.0390319824219,30,R_A2,299.0390319824219,1,0.0,0.05706910043954849,1638.984375,2018-03-01,1,22
STANDARD,0,299.1616516113281,30,R_A2,299.1616516113281,2,0.0,0.0592917799949646,1640.813720703125,2018-03-01,2,22
STANDARD,0,299.28424072265625,30,R_A2,299.28424072265625,3,0.0,0.061403192579746246,1642.64306640625,2018-03-01,3,22
STANDARD,0,299.4068908691406,30,R_A2,299.4068908691406,4,0.0,0.06798073649406433,1644.472412109375,2018-03-01,4,22
STANDARD,0,299.52947998046875,30,R_A2,299.52947998046875,5,0.0,0.071013443171978,1646.3017578125,2018-03-01,5,22
STANDARD,0,299.66693115234375,30,R_A2,299.66693115234375,6,0.0,0.3276168704032898,1648.131103515625,2018-03-01,6,22
STANDARD,0,299.7959899902344,30,R_A2,299.7959899902344,7,0.0,0.8951024413108826,1649.9603271484375,2018-03-01,7,22
STANDARD,0,299.9237060546875,30,R_A2,299.9237060546875,8,0.0,0.8796239495277405,1651.789794921875,2018-03-01,8,22
STANDARD,0,300.05029296875,30,R_A2,300.05029296875,9,0.0,0.9130588173866272,1653.619140625,2018-03-01,9,22
STANDARD,0,300.30279541015625,30,R_A2,300.30279541015625,10,0.0,0.916612446308136,1655.4483642578125,2018-03-01,10,22
STANDARD,0,300.2417907714844,30,R_A2,300.2417907714844,11,0.0,0.08422199636697769,1657.38330078125,2018-03-01,11,22
STANDARD,0,300.3681640625,30,R_A2,300.3681640625,12,0.0,0.09716655313968658,1659.423828125,2018-03-01,12,22
STANDARD,0,300.6651916503906,30,R_A2,300.6651916503906,13,0.0,0.47647494077682495,1661.4644775390625,2018-03-01,13,22
STANDARD,0,300.8087463378906,30,R_A2,300.8087463378906,14,0.0,0.5249205231666565,1663.5050048828125,2018-03-01,14,22
STANDARD,0,300.9451904296875,30,R_A2,300.9451904296875,15,0.0,0.7055097222328186,1665.545654296875,2018-03-01,15,22
STANDARD,0,301.08026123046875,30,R_A2,301.08026123046875,16,0.0,0.9679644703865051,1667.586181640625,2018-03-01,16,22
