CONKPOS,PRESSURE,DATE,WELL,CONIPOS,SGAS,WELLMODEL,CONIDX,DRAWDOWN,CONBPRES,DEPTH,SWAT,CONJPOS
15,305.9988098144531,2018-01-01,R_A5,31,0.0,STANDARD,13,0,305.9988098144531,1707.63623046875,1.0,21
16,306.1836853027344,2018-01-01,R_A5,31,0.0,STANDARD,14,0,306.1836853027344,1709.5867919921875,1.0,21
17,306.5135498046875,2018-01-01,R_A5,31,0.0,STANDARD,15,0,306.5135498046875,1711.537353515625,1.0,21
18,306.6856994628906,2018-01-01,R_A5,31,0.0,STANDARD,16,0,306.6856994628906,1713.35400390625,1.0,21
19,306.7843933105469,2018-01-01,R_A5,31,0.0,STANDARD,17,0,306.7843933105469,1714.3951416015625,1.0,21
27,306.75689697265625,2018-01-01,R_A5,31,0.0,STANDARD,18,0,306.75689697265625,1715.7628173828125,1.0,21
28,306.978271484375,2018-01-01,R_A5,31,0.0,STANDARD,19,0,306.978271484375,1718.098388671875,1.0,21
29,307.5054016113281,2018-01-01,R_A5,31,0.0,STANDARD,20,0,307.5054016113281,1720.43408203125,1.0,21
30,307.7267761230469,2018-01-01,R_A5,31,0.0,STANDARD,21,0,307.7267761230469,1722.7696533203125,1.0,21
31,307.9481506347656,2018-01-01,R_A5,31,0.0,STANDARD,22,0,307.9481506347656,1725.105224609375,1.0,21
1,305.11419677734375,2018-01-01,R_A6,17,0.0,STANDARD,1,0,305.11419677734375,1695.20263671875,1.0,42
2,305.2609558105469,2018-01-01,R_A6,17,0.0,STANDARD,2,0,305.2609558105469,1696.7510986328125,1.0,42
3,305.4076843261719,2018-01-01,R_A6,17,0.0,STANDARD,3,0,305.4076843261719,1698.299560546875,1.0,42
4,305.554443359375,2018-01-01,R_A6,17,0.0,STANDARD,4,0,305.554443359375,1699.84814453125,1.0,42
5,305.7012023925781,2018-01-01,R_A6,17,0.0,STANDARD,5,0,305.7012023925781,1701.3966064453125,1.0,42
6,305.84796142578125,2018-01-01,R_A6,17,0.0,STANDARD,6,0,305.84796142578125,1702.9451904296875,1.0,42
7,305.6956481933594,2018-01-01,R_A6,17,0.0,STANDARD,7,0,305.6956481933594,1704.49365234375,1.0,42
8,305.8424072265625,2018-01-01,R_A6,17,0.0,STANDARD,8,0,305.8424072265625,1706.042236328125,1.0,42
9,306.2882080078125,2018-01-01,R_A6,17,0.0,STANDARD,9,0,306.2882080078125,1707.5906982421875,1.0,42
10,306.1291809082031,2018-01-01,R_A6,17,0.0,STANDARD,10,0,306.1291809082031,1709.1392822265625,1.0,42
11,306.3109130859375,2018-01-01,R_A6,17,0.0,STANDARD,11,0,306.3109130859375,1711.055419921875,1.0,42
12,306.52734375,2018-01-01,R_A6,17,0.0,STANDARD,12,0,306.52734375,1713.3392333984375,1.0,42
