CONJPOS,DEPTH,PRESSURE,CONIDX,DRAWDOWN,WELLMODEL,CONIPOS,CONBPRES,SGAS,SWAT,CONKPOS,WELL,DATE
30,1659.00927734375,300.6315612792969,10,0,STANDARD,22,300.6315612792969,0.0,0.9015518426895142,10,R_A2,2018-03-01
30,1660.968505859375,300.1817932128906,11,0,STANDARD,22,300.1817932128906,0.0,0.07197882980108261,11,R_A2,2018-03-01
30,1663.0357666015625,300.32537841796875,12,0,STANDARD,22,300.32537841796875,0.0,0.07991477847099304,12,R_A2,2018-03-01
30,1665.10302734375,300.51153564453125,13,0,STANDARD,22,300.51153564453125,0.0,0.43537092208862305,13,R_A2,2018-03-01
30,1667.17041015625,300.6508483886719,14,0,STANDARD,22,300.6508483886719,0.0,0.48213648796081543,14,R_A2,2018-03-01
30,1669.2376708984375,300.7906188964844,15,0,STANDARD,22,300.7906188964844,0.0,0.6642861366271973,15,R_A2,2018-03-01
30,1671.304931640625,300.92919921875,16,0,STANDARD,22,300.92919921875,0.0,0.9508984088897705,16,R_A2,2018-03-01
30,1673.372314453125,301.06805419921875,17,0,STANDARD,22,301.06805419921875,0.0,0.9259644150733948,17,R_A2,2018-03-01
29,1672.1275634765625,300.8043518066406,18,0,STANDARD,22,300.8043518066406,0.0,0.8920912742614746,17,R_A2,2018-03-01
29,1674.0469970703125,300.93426513671875,19,0,STANDARD,22,300.93426513671875,0.0,0.9493445158004761,18,R_A2,2018-03-01
29,1675.8466796875,301.6435546875,20,0,STANDARD,22,301.6435546875,0.0,0.23758739233016968,26,R_A2,2018-03-01
29,1677.6182861328125,302.2557678222656,21,0,STANDARD,22,302.2557678222656,4.667139613147298e-13,1.0,27,R_A2,2018-03-01
29,1679.3897705078125,302.6712341308594,22,0,STANDARD,22,302.6712341308594,1.303759888677397e-13,1.0,28,R_A2,2018-03-01
29,1681.161376953125,302.5151062011719,23,0,STANDARD,22,302.5151062011719,2.8115053687938207e-13,1.0,29,R_A2,2018-03-01
29,1682.932861328125,302.2311706542969,24,0,STANDARD,22,302.2311706542969,0.0,1.000002384185791,30,R_A2,2018-03-01
20,1685.802001953125,284.26513671875,1,0,STANDARD,31,284.26513671875,-2.341567152848445e-13,1.0,1,R_A5,2018-04-28
20,1688.1253662109375,284.4851989746094,2,0,STANDARD,31,284.4851989746094,-3.1080688153370395e-13,1.0,2,R_A5,2018-04-28
20,1690.4488525390625,284.70526123046875,3,0,STANDARD,31,284.70526123046875,-3.5692024964902036e-13,1.0,3,R_A5,2018-04-28
20,1692.772216796875,284.92529296875,4,0,STANDARD,31,284.92529296875,-3.546657325464997e-13,1.0,4,R_A5,2018-04-28
20,1695.095703125,285.14532470703125,5,0,STANDARD,31,285.14532470703125,-3.3800325277381915e-13,1.0,5,R_A5,2018-04-28
20,1697.4190673828125,285.3653564453125,6,0,STANDARD,31,285.3653564453125,-2.7903639685314396e-13,1.0,6,R_A5,2018-04-28
20,1699.7425537109375,285.9058837890625,7,0,STANDARD,31,285.9058837890625,-2.5034167176318095e-14,1.0,7,R_A5,2018-04-28
21,1699.27783203125,277.2387390136719,8,0,STANDARD,31,277.2387390136719,-1.103730995488661e-09,0.9999999403953552,11,R_A5,2018-04-28
21,1701.2564697265625,277.4389343261719,9,0,STANDARD,31,277.4389343261719,-1.2628156298433169e-09,0.9999999403953552,12,R_A5,2018-04-28
21,1703.2349853515625,277.64013671875,10,0,STANDARD,31,277.64013671875,-3.339026971582726e-11,1.0,13,R_A5,2018-04-28
21,1705.213623046875,277.8302001953125,11,0,STANDARD,31,277.8302001953125,-5.6842745788099336e-11,1.0,14,R_A5,2018-04-28
21,1707.1922607421875,278.02105712890625,12,0,STANDARD,31,278.02105712890625,-1.4954773530639898e-11,1.0,15,R_A5,2018-04-28
21,1709.1708984375,278.3668518066406,13,0,STANDARD,31,278.3668518066406,-1.241923577866011e-11,1.0,16,R_A5,2018-04-28
21,1711.1494140625,278.5829772949219,14,0,STANDARD,31,278.5829772949219,-2.7464623457429393e-12,1.0,17,R_A5,2018-04-28
21,1712.8447265625,278.7978515625,15,0,STANDARD,31,278.7978515625,-4.2645795748919024e-12,1.0,18,R_A5,2018-04-28
21,1713.798583984375,278.92132568359375,16,0,STANDARD,31,278.92132568359375,0.0,1.0,19,R_A5,2018-04-28
21,1714.1859130859375,278.961669921875,17,0,STANDARD,31,278.961669921875,0.0,1.0,20,R_A5,2018-04-28
21,1715.4788818359375,285.8746032714844,18,0,STANDARD,31,285.8746032714844,-3.284654492841099e-11,1.0,26,R_A5,2018-04-28
21,1717.785400390625,286.1606140136719,19,0,STANDARD,31,286.1606140136719,-4.010118279107466e-11,1.0,27,R_A5,2018-04-28
21,1720.0919189453125,296.6388244628906,20,0,STANDARD,31,296.6388244628906,-6.072641911428626e-17,1.0,28,R_A5,2018-04-28
21,1722.3984375,303.9227600097656,21,0,STANDARD,31,303.9227600097656,-2.4140971701062044e-17,1.0,29,R_A5,2018-04-28
21,1724.705078125,306.7699279785156,22,0,STANDARD,31,306.7699279785156,-8.720685611099528e-18,1.0,30,R_A5,2018-04-28
41,1609.6204833984375,287.0712890625,1,0,STANDARD,28,287.0712890625,0.0,0.6506001949310303,1,R_A3,2018-07-03
41,1611.6651611328125,287.1792297363281,2,0,STANDARD,28,287.1792297363281,0.0,0.19769486784934998,2,R_A3,2018-07-03
41,1613.7098388671875,287.31549072265625,3,0,STANDARD,28,287.31549072265625,0.0,0.1910814791917801,3,R_A3,2018-07-03
41,1615.754638671875,287.6114501953125,4,0,STANDARD,28,287.6114501953125,0.0,0.36733362078666687,4,R_A3,2018-07-03
41,1607.146484375,288.387939453125,5,0,STANDARD,29,288.387939453125,0.0,0.774190366268158,5,R_A3,2018-07-03
41,1609.275146484375,288.7867736816406,6,0,STANDARD,29,288.7867736816406,0.0,0.6705979704856873,6,R_A3,2018-07-03
41,1611.40380859375,289.0176086425781,7,0,STANDARD,29,289.0176086425781,0.0,0.6491035223007202,7,R_A3,2018-07-03
41,1613.532470703125,289.1615905761719,8,0,STANDARD,29,289.1615905761719,0.0,0.1955229490995407,8,R_A3,2018-07-03
41,1615.6612548828125,289.3758544921875,9,0,STANDARD,29,289.3758544921875,0.0,0.7908671498298645,9,R_A3,2018-07-03
41,1617.7899169921875,289.8827209472656,10,0,STANDARD,29,289.8827209472656,0.0,0.7875248193740845,10,R_A3,2018-07-03
41,1619.9998779296875,296.2535705566406,11,0,STANDARD,29,296.2535705566406,0.0,0.048335641622543335,11,R_A3,2018-07-03
41,1622.291015625,296.40704345703125,12,0,STANDARD,29,296.40704345703125,0.0,0.05271337926387787,12,R_A3,2018-07-03
41,1624.582275390625,296.5614318847656,13,0,STANDARD,29,296.5614318847656,0.0,0.37033843994140625,13,R_A3,2018-07-03
41,1626.8734130859375,296.7161865234375,14,0,STANDARD,29,296.7161865234375,0.0,0.34602758288383484,14,R_A3,2018-07-03
41,1629.1646728515625,296.87567138671875,15,0,STANDARD,29,296.87567138671875,0.0,0.4979647994041443,15,R_A3,2018-07-03
41,1631.1046142578125,297.00250244140625,16,0,STANDARD,29,297.00250244140625,0.0,0.8040587306022644,16,R_A3,2018-07-03
41,1633.6910400390625,289.96112060546875,17,0,STANDARD,29,289.96112060546875,0.0,0.650945246219635,26,R_A3,2018-07-03
41,1637.275390625,290.2112731933594,18,0,STANDARD,29,290.2112731933594,0.0,0.046223677694797516,27,R_A3,2018-07-03
41,1640.8597412109375,290.4510192871094,19,0,STANDARD,29,290.4510192871094,0.0,0.046573296189308167,28,R_A3,2018-07-03
41,1644.4439697265625,290.6881103515625,20,0,STANDARD,29,290.6881103515625,0.0,0.6491093039512634,29,R_A3,2018-07-03
41,1648.0283203125,290.93426513671875,21,0,STANDARD,29,290.93426513671875,0.0,0.05959295853972435,30,R_A3,2018-07-03
52,1634.7862548828125,281.4677429199219,1,0,STANDARD,30,281.4677429199219,0.0,0.050664424896240234,1,R_A4,2018-09-12
52,1628.7877197265625,281.19744873046875,2,0,STANDARD,31,281.19744873046875,0.0,0.04934768006205559,1,R_A4,2018-09-12
52,1630.8314208984375,281.33380126953125,3,0,STANDARD,31,281.33380126953125,0.0,0.05145438387989998,2,R_A4,2018-09-12
52,1632.875244140625,281.4701232910156,4,0,STANDARD,31,281.4701232910156,0.0,0.05389051139354706,3,R_A4,2018-09-12
52,1630.5789794921875,281.44158935546875,5,0,STANDARD,32,281.44158935546875,0.0,0.052394844591617584,3,R_A4,2018-09-12
52,1632.44482421875,281.5660400390625,6,0,STANDARD,32,281.5660400390625,0.0,0.05274118855595589,4,R_A4,2018-09-12
51,1636.5609130859375,281.68634033203125,7,0,STANDARD,32,281.68634033203125,0.0,0.055499590933322906,4,R_A4,2018-09-12
51,1637.324951171875,281.86871337890625,8,0,STANDARD,33,281.86871337890625,0.0,0.0574423149228096,4,R_A4,2018-09-12
51,1635.4476318359375,281.74371337890625,9,0,STANDARD,33,281.74371337890625,0.0,0.07431254535913467,3,R_A4,2018-09-12
50,1642.7587890625,282.0459289550781,10,0,STANDARD,33,282.0459289550781,0.0,0.06256633996963501,4,R_A4,2018-09-12
50,1640.1168212890625,282.0317687988281,11,0,STANDARD,34,282.0317687988281,0.0,0.05948200076818466,4,R_A4,2018-09-12
50,1639.288818359375,282.16131591796875,12,0,STANDARD,35,282.16131591796875,0.0,0.05726340785622597,4,R_A4,2018-09-12
