CONJPOS,WELL,SGAS,CONKPOS,SWAT,DATE,WELLMODEL,CONIDX,DRAWDOWN,PRESSURE,DEPTH,CONBPRES,CONIPOS
47,R_A4,0.0,27,0.1967172920703888,2018-01-01,STANDARD,25,0,302.1543884277344,1661.183837890625,302.1543884277344,38
47,R_A4,0.0,26,0.06199543550610542,2018-01-01,STANDARD,26,0,301.77056884765625,1655.46142578125,301.77056884765625,38
20,R_A5,0.0,1,1.0,2018-01-01,STANDARD,1,0,303.7568664550781,1684.1060791015625,303.7568664550781,31
20,R_A5,0.0,2,1.0,2018-01-01,STANDARD,2,0,303.9473571777344,1686.116455078125,303.9473571777344,31
20,R_A5,0.0,3,1.0,2018-01-01,STANDARD,3,0,304.13787841796875,1688.126708984375,304.13787841796875,31
20,R_A5,0.0,4,1.0,2018-01-01,STANDARD,4,0,304.328369140625,1690.1370849609375,304.328369140625,31
20,R_A5,0.0,5,1.0,2018-01-01,STANDARD,5,0,304.5188903808594,1692.1474609375,304.5188903808594,31
20,R_A5,0.0,6,1.0,2018-01-01,STANDARD,6,0,304.70941162109375,1694.1578369140625,304.70941162109375,31
20,R_A5,0.0,7,1.0,2018-01-01,STANDARD,7,0,305.2056884765625,1696.1680908203125,305.2056884765625,31
20,R_A5,0.0,8,1.0,2018-01-01,STANDARD,8,0,305.3962097167969,1698.178466796875,305.3962097167969,31
21,R_A5,0.0,8,1.0,2018-01-01,STANDARD,9,0,305.091552734375,1694.963623046875,305.091552734375,31
21,R_A5,0.0,9,1.0,2018-01-01,STANDARD,10,0,305.31439208984375,1697.315185546875,305.31439208984375,31
21,R_A5,0.0,10,1.0,2018-01-01,STANDARD,11,0,305.5372619628906,1699.6666259765625,305.5372619628906,31
21,R_A5,0.0,11,1.0,2018-01-01,STANDARD,12,0,305.4408874511719,1701.8751220703125,305.4408874511719,31
21,R_A5,0.0,12,1.0,2018-01-01,STANDARD,13,0,305.6366271972656,1703.9405517578125,305.6366271972656,31
21,R_A5,0.0,13,1.0,2018-01-01,STANDARD,14,0,305.84429931640625,1706.005859375,305.84429931640625,31
21,R_A5,0.0,14,1.0,2018-01-01,STANDARD,15,0,306.0400390625,1708.0711669921875,306.0400390625,31
21,R_A5,0.0,15,1.0,2018-01-01,STANDARD,16,0,306.23577880859375,1710.136474609375,306.23577880859375,31
21,R_A5,0.0,16,1.0,2018-01-01,STANDARD,17,0,306.5765380859375,1712.201904296875,306.5765380859375,31
21,R_A5,0.0,17,1.0,2018-01-01,STANDARD,18,0,306.7525634765625,1714.0592041015625,306.7525634765625,31
21,R_A5,0.0,18,1.0,2018-01-01,STANDARD,19,0,306.861572265625,1715.20947265625,306.861572265625,31
21,R_A5,0.0,19,1.0,2018-01-01,STANDARD,20,0,306.9141540527344,1715.7642822265625,306.9141540527344,31
21,R_A5,0.0,25,1.0,2018-01-01,STANDARD,21,0,306.8800964355469,1717.0625,306.8800964355469,31
21,R_A5,0.0,26,1.0,2018-01-01,STANDARD,22,0,307.0827331542969,1719.2008056640625,307.0827331542969,31
21,R_A5,0.0,27,1.0,2018-01-01,STANDARD,23,0,307.5911865234375,1721.3389892578125,307.5911865234375,31
21,R_A5,0.0,28,1.0,2018-01-01,STANDARD,24,0,307.7938232421875,1723.4771728515625,307.7938232421875,31
21,R_A5,0.0,29,1.0,2018-01-01,STANDARD,25,0,307.9964904785156,1725.6153564453125,307.9964904785156,31
42,R_A6,0.0,1,1.0,2018-01-01,STANDARD,1,0,305.0368347167969,1694.38623046875,305.0368347167969,17
42,R_A6,0.0,2,1.0,2018-01-01,STANDARD,2,0,305.18212890625,1695.9195556640625,305.18212890625,17
42,R_A6,0.0,3,1.0,2018-01-01,STANDARD,3,0,305.32745361328125,1697.4527587890625,305.32745361328125,17
42,R_A6,0.0,4,1.0,2018-01-01,STANDARD,4,0,305.4727478027344,1698.9859619140625,305.4727478027344,17
42,R_A6,0.0,5,1.0,2018-01-01,STANDARD,5,0,305.6180419921875,1700.5191650390625,305.6180419921875,17
42,R_A6,0.0,6,1.0,2018-01-01,STANDARD,6,0,305.7633361816406,1702.0523681640625,305.7633361816406,17
42,R_A6,0.0,7,1.0,2018-01-01,STANDARD,7,0,305.6095886230469,1703.5855712890625,305.6095886230469,17
42,R_A6,0.0,8,1.0,2018-01-01,STANDARD,8,0,305.7548828125,1705.1187744140625,305.7548828125,17
42,R_A6,0.0,9,1.0,2018-01-01,STANDARD,9,0,306.1992492675781,1706.6519775390625,306.1992492675781,17
42,R_A6,0.0,10,1.0,2018-01-01,STANDARD,10,0,306.03875732421875,1708.1851806640625,306.03875732421875,17
42,R_A6,0.0,11,1.0,2018-01-01,STANDARD,11,0,306.2198181152344,1710.0943603515625,306.2198181152344,17
42,R_A6,0.0,12,1.0,2018-01-01,STANDARD,12,0,306.4363708496094,1712.37939453125,306.4363708496094,17
42,R_A6,0.0,13,1.0,2018-01-01,STANDARD,13,0,306.6649169921875,1714.66455078125,306.6649169921875,17
42,R_A6,0.0,14,1.0,2018-01-01,STANDARD,14,0,306.8814697265625,1716.94970703125,306.8814697265625,17
42,R_A6,0.0,15,1.0,2018-01-01,STANDARD,15,0,307.0980529785156,1719.2347412109375,307.0980529785156,17
42,R_A6,0.0,16,1.0,2018-01-01,STANDARD,16,0,307.45965576171875,1721.5198974609375,307.45965576171875,17
42,R_A6,0.0,17,1.0,2018-01-01,STANDARD,17,0,307.67620849609375,1723.8050537109375,307.67620849609375,17
42,R_A6,0.0,18,1.0,2018-01-01,STANDARD,18,0,307.8223571777344,1725.3468017578125,307.8223571777344,17
42,R_A6,0.0,25,1.0,2018-01-01,STANDARD,19,0,307.7840576171875,1726.600341796875,307.7840576171875,17
42,R_A6,0.0,26,1.0,2018-01-01,STANDARD,20,0,308.25177001953125,1728.3089599609375,308.25177001953125,17
42,R_A6,0.0,27,1.0,2018-01-01,STANDARD,21,0,308.4137268066406,1730.017578125,308.4137268066406,17
42,R_A6,0.0,28,1.0,2018-01-01,STANDARD,22,0,308.5756530761719,1731.7261962890625,308.5756530761719,17
42,R_A6,0.0,29,1.0,2018-01-01,STANDARD,23,0,308.43182373046875,1733.434814453125,308.43182373046875,17
30,R_A2,0.0,1,0.05306684225797653,2018-03-01,STANDARD,1,0,298.6454772949219,1639.458251953125,298.6454772949219,22
30,R_A2,0.0,2,0.05466067045927048,2018-03-01,STANDARD,2,0,298.76507568359375,1641.242919921875,298.76507568359375,22
30,R_A2,0.0,3,0.05671960860490799,2018-03-01,STANDARD,3,0,298.8846740722656,1643.0277099609375,298.8846740722656,22
30,R_A2,0.0,4,0.061729662120342255,2018-03-01,STANDARD,4,0,299.0042724609375,1644.8125,299.0042724609375,22
30,R_A2,0.0,5,0.13073495030403137,2018-03-01,STANDARD,5,0,299.1239013671875,1646.59716796875,299.1239013671875,22
30,R_A2,0.0,6,0.6492385864257812,2018-03-01,STANDARD,6,0,299.2415771484375,1648.3818359375,299.2415771484375,22
30,R_A2,0.0,7,0.8675675988197327,2018-03-01,STANDARD,7,0,299.380859375,1650.1666259765625,299.380859375,22
30,R_A2,0.0,8,0.8472464680671692,2018-03-01,STANDARD,8,0,299.5089111328125,1651.951416015625,299.5089111328125,22
30,R_A2,0.0,9,0.8761589527130127,2018-03-01,STANDARD,9,0,299.90667724609375,1653.736083984375,299.90667724609375,22
