DATE,SWAT,WELLMODEL,CONKPOS,CONJPOS,SGAS,DEPTH,CONIDX,PRESSURE,DRAWDOWN,CONBPRES,CONIPOS,WELL
2018-01-01,1.0,STANDARD,6,20,0.0,1695.42138671875,6,304.82916259765625,0,304.82916259765625,31,R_A5
2018-01-01,1.0,STANDARD,7,20,0.0,1697.7518310546875,7,305.35577392578125,0,305.35577392578125,31,R_A5
2018-01-01,1.0,STANDARD,8,20,0.0,1700.0821533203125,8,305.5766296386719,0,305.5766296386719,31,R_A5
2018-01-01,1.0,STANDARD,11,21,0.0,1701.3177490234375,9,305.3880615234375,0,305.3880615234375,31,R_A5
2018-01-01,1.0,STANDARD,12,21,0.0,1703.2957763671875,10,305.57550048828125,0,305.57550048828125,31,R_A5
2018-01-01,1.0,STANDARD,13,21,0.0,1705.273681640625,11,305.7749328613281,0,305.7749328613281,31,R_A5
2018-01-01,1.0,STANDARD,14,21,0.0,1707.251708984375,12,305.9623718261719,0,305.9623718261719,31,R_A5
2018-01-01,1.0,STANDARD,15,21,0.0,1709.2296142578125,13,306.14984130859375,0,306.14984130859375,31,R_A5
2018-01-01,1.0,STANDARD,16,21,0.0,1711.20751953125,14,306.4822998046875,0,306.4822998046875,31,R_A5
2018-01-01,1.0,STANDARD,17,21,0.0,1713.185546875,15,306.6697692871094,0,306.6697692871094,31,R_A5
2018-01-01,1.0,STANDARD,18,21,0.0,1714.969482421875,16,306.8388366699219,0,306.8388366699219,31,R_A5
2018-01-01,1.0,STANDARD,19,21,0.0,1715.938232421875,17,306.9306335449219,0,306.9306335449219,31,R_A5
2018-01-01,1.0,STANDARD,26,21,0.0,1717.2816162109375,18,306.9008483886719,0,306.9008483886719,31,R_A5
2018-01-01,1.0,STANDARD,27,21,0.0,1719.62109375,19,307.1225891113281,0,307.1225891113281,31,R_A5
2018-01-01,1.0,STANDARD,28,21,0.0,1721.960693359375,20,307.6501159667969,0,307.6501159667969,31,R_A5
2018-01-01,1.0,STANDARD,29,21,0.0,1724.30029296875,21,307.8718566894531,0,307.8718566894531,31,R_A5
2018-01-01,1.0,STANDARD,30,21,0.0,1726.6397705078125,22,308.09356689453125,0,308.09356689453125,31,R_A5
2018-01-01,1.0,STANDARD,1,42,0.0,1695.1383056640625,1,305.10809326171875,0,305.10809326171875,17,R_A6
2018-01-01,1.0,STANDARD,2,42,0.0,1696.6837158203125,2,305.2545471191406,0,305.2545471191406,17,R_A6
2018-01-01,1.0,STANDARD,3,42,0.0,1698.229248046875,3,305.4010314941406,0,305.4010314941406,17,R_A6
2018-01-01,1.0,STANDARD,4,42,0.0,1699.774658203125,4,305.5474853515625,0,305.5474853515625,17,R_A6
2018-01-01,1.0,STANDARD,5,42,0.0,1701.320068359375,5,305.6939392089844,0,305.6939392089844,17,R_A6
2018-01-01,1.0,STANDARD,6,42,0.0,1702.865478515625,6,305.5413513183594,0,305.5413513183594,17,R_A6
2018-01-01,1.0,STANDARD,7,42,0.0,1704.410888671875,7,305.68780517578125,0,305.68780517578125,17,R_A6
2018-01-01,1.0,STANDARD,8,42,0.0,1705.9564208984375,8,306.1333312988281,0,306.1333312988281,17,R_A6
2018-01-01,1.0,STANDARD,9,42,0.0,1707.5018310546875,9,306.27978515625,0,306.27978515625,17,R_A6
2018-01-01,1.0,STANDARD,10,42,0.0,1709.04736328125,10,306.4262390136719,0,306.4262390136719,17,R_A6
2018-01-01,1.0,STANDARD,11,42,0.0,1710.958251953125,11,306.30169677734375,0,306.30169677734375,17,R_A6
