SGAS,SWAT,DATE,CONBPRES,DRAWDOWN,DEPTH,WELLMODEL,CONJPOS,CONIPOS,CONKPOS,CONIDX,PRESSURE,WELL
0.0,0.052449796348810196,2018-01-01,300.248046875,0,1632.8515625,STANDARD,52,31,4,5,300.248046875,R_A4
0.0,0.053484007716178894,2018-01-01,300.3854064941406,0,1634.900390625,STANDARD,52,31,5,6,300.3854064941406,R_A4
0.0,0.05345999076962471,2018-01-01,300.21295166015625,0,1632.3284912109375,STANDARD,52,32,5,7,300.21295166015625,R_A4
0.0,0.05652995780110359,2018-01-01,300.4490051269531,0,1635.848876953125,STANDARD,51,32,5,8,300.4490051269531,R_A4
0.0,0.28526100516319275,2018-01-01,300.4725646972656,0,1636.2003173828125,STANDARD,51,33,5,9,300.4725646972656,R_A4
0.0,0.15536801517009735,2018-01-01,300.9055480957031,0,1642.6575927734375,STANDARD,50,33,5,10,300.9055480957031,R_A4
0.0,0.060573410242795944,2018-01-01,300.8186340332031,0,1641.3616943359375,STANDARD,50,34,5,11,300.8186340332031,R_A4
0.0,0.059466954320669174,2018-01-01,300.6941833496094,0,1639.505615234375,STANDARD,50,34,4,12,300.6941833496094,R_A4
0.0,0.05993824452161789,2018-01-01,300.8219909667969,0,1641.411865234375,STANDARD,50,35,4,13,300.8219909667969,R_A4
0.0,0.19802811741828918,2018-01-01,300.7007751464844,0,1639.6038818359375,STANDARD,50,35,3,14,300.7007751464844,R_A4
0.0,0.15996837615966797,2018-01-01,301.0210266113281,0,1644.3800048828125,STANDARD,49,35,3,15,301.0210266113281,R_A4
0.0,0.23411236703395844,2018-01-01,300.90008544921875,0,1642.5760498046875,STANDARD,49,35,2,16,300.90008544921875,R_A4
0.0,0.23135223984718323,2018-01-01,300.77911376953125,0,1640.772216796875,STANDARD,49,35,1,17,300.77911376953125,R_A4
0.0,0.283090204000473,2018-01-01,300.9964599609375,0,1644.013427734375,STANDARD,49,36,28,18,300.9964599609375,R_A4
0.0,0.05471386760473251,2018-01-01,300.947509765625,0,1643.2833251953125,STANDARD,48,36,28,19,300.947509765625,R_A4
0.0,1.0,2018-01-01,301.5322265625,0,1652.00244140625,STANDARD,48,37,28,20,301.5322265625,R_A4
0.0,0.6481541991233826,2018-01-01,301.1557312011719,0,1646.3887939453125,STANDARD,48,37,27,21,301.1557312011719,R_A4
0.0,0.10444232076406479,2018-01-01,301.5916442871094,0,1652.888671875,STANDARD,48,38,27,22,301.5916442871094,R_A4
0.0,0.1605491191148758,2018-01-01,302.11090087890625,0,1660.6302490234375,STANDARD,47,38,27,23,302.11090087890625,R_A4
