SWAT,CONKPOS,DRAWDOWN,CONIPOS,SGAS,CONBPRES,PRESSURE,WELLMODEL,CONIDX,CONJPOS,DATE,WELL,DEPTH
0.055931203067302704,2,0,22,0.0,300.210693359375,300.210693359375,STANDARD,2,30,2018-03-01,R_A2,1644.0968017578125
0.058777593076229095,3,0,22,0.0,300.33013916015625,300.33013916015625,STANDARD,3,30,2018-03-01,R_A2,1645.878662109375
0.06227549538016319,4,0,22,0.0,300.4496154785156,300.4496154785156,STANDARD,4,30,2018-03-01,R_A2,1647.660400390625
0.06736840307712555,5,0,22,0.0,300.5690612792969,300.5690612792969,STANDARD,5,30,2018-03-01,R_A2,1649.442138671875
0.11503486335277557,6,0,22,0.0,300.68853759765625,300.68853759765625,STANDARD,6,30,2018-03-01,R_A2,1651.223876953125
0.21858932077884674,7,0,22,0.0,300.8080139160156,300.8080139160156,STANDARD,7,30,2018-03-01,R_A2,1653.005615234375
0.688203752040863,8,0,22,0.0,300.92822265625,300.92822265625,STANDARD,8,30,2018-03-01,R_A2,1654.787353515625
0.8911624550819397,9,0,22,0.0,301.1044921875,301.1044921875,STANDARD,9,30,2018-03-01,R_A2,1656.5692138671875
0.8908659815788269,10,0,22,0.0,301.2896423339844,301.2896423339844,STANDARD,10,30,2018-03-01,R_A2,1658.3509521484375
0.07171753793954849,11,0,22,0.0,301.002197265625,301.002197265625,STANDARD,11,30,2018-03-01,R_A2,1660.248779296875
0.07366368174552917,12,0,22,0.0,301.13726806640625,301.13726806640625,STANDARD,12,30,2018-03-01,R_A2,1662.2626953125
0.43489137291908264,13,0,22,0.0,301.2727355957031,301.2727355957031,STANDARD,13,30,2018-03-01,R_A2,1664.2764892578125
0.47817420959472656,14,0,22,0.0,301.4087219238281,301.4087219238281,STANDARD,14,30,2018-03-01,R_A2,1666.2904052734375
0.7247004508972168,15,0,22,0.0,301.5471496582031,301.5471496582031,STANDARD,15,30,2018-03-01,R_A2,1668.3043212890625
0.8977301120758057,15,0,22,0.0,301.521484375,301.521484375,STANDARD,16,29,2018-03-01,R_A2,1667.8717041015625
0.9185085892677307,16,0,22,0.0,301.665283203125,301.665283203125,STANDARD,17,29,2018-03-01,R_A2,1670.0257568359375
0.8759660720825195,17,0,22,0.0,301.8095397949219,301.8095397949219,STANDARD,18,29,2018-03-01,R_A2,1672.1798095703125
0.9399073719978333,18,0,22,0.0,301.93426513671875,301.93426513671875,STANDARD,19,29,2018-03-01,R_A2,1674.0418701171875
0.7760213613510132,26,0,22,0.0,303.0508117675781,303.0508117675781,STANDARD,20,29,2018-03-01,R_A2,1675.908447265625
0.9999985098838806,27,0,22,0.0,302.44976806640625,302.44976806640625,STANDARD,21,29,2018-03-01,R_A2,1677.693603515625
0.651229202747345,28,0,22,0.0,302.2221374511719,302.2221374511719,STANDARD,22,29,2018-03-01,R_A2,1679.478759765625
0.7438032031059265,29,0,22,0.0,302.37640380859375,302.37640380859375,STANDARD,23,29,2018-03-01,R_A2,1681.2640380859375
1.0,30,0,22,-2.902018945313248e-15,303.19989013671875,303.19989013671875,STANDARD,24,29,2018-03-01,R_A2,1683.0491943359375
0.9998539090156555,1,0,31,0.0,276.5519714355469,276.5519714355469,STANDARD,1,20,2018-04-28,R_A5,1685.7445068359375
1.0,2,0,31,-2.2631202467593425e-11,276.7665710449219,276.7665710449219,STANDARD,2,20,2018-04-28,R_A5,1688.0125732421875
1.0,3,0,31,-2.3791212055979116e-11,276.9810485839844,276.9810485839844,STANDARD,3,20,2018-04-28,R_A5,1690.280517578125
1.0,4,0,31,-2.713639729590156e-11,277.1955871582031,277.1955871582031,STANDARD,4,20,2018-04-28,R_A5,1692.548583984375
1.0,5,0,31,-1.8939832341358098e-11,277.4100646972656,277.4100646972656,STANDARD,5,20,2018-04-28,R_A5,1694.816650390625
1.0,6,0,31,-4.2790042342755186e-12,277.6246032714844,277.6246032714844,STANDARD,6,20,2018-04-28,R_A5,1697.0845947265625
1.0,7,0,31,-2.9954014529182116e-12,278.2809143066406,278.2809143066406,STANDARD,7,20,2018-04-28,R_A5,1699.3526611328125
1.0,9,0,31,1.8339970926477267e-13,279.92474365234375,279.92474365234375,STANDARD,8,21,2018-04-28,R_A5,1696.5823974609375
1.0,10,0,31,4.520938829598526e-15,284.4643859863281,284.4643859863281,STANDARD,9,21,2018-04-28,R_A5,1699.07861328125
1.0,11,0,31,-4.7354169196989204e-11,277.358642578125,277.358642578125,STANDARD,10,21,2018-04-28,R_A5,1701.2939453125
