DEPTH,DATE,CONKPOS,SWAT,CONIDX,PRESSURE,CONBPRES,CONJPOS,CONIPOS,DRAWDOWN,WELLMODEL,SGAS,WELL
1640.8001708984375,2018-07-03,29,0.0520511157810688,20,289.7650146484375,289.7650146484375,41,29,0,STANDARD,0.0,R_A3
1644.4371337890625,2018-07-03,30,0.9999999403953552,21,292.76898193359375,292.76898193359375,41,29,0,STANDARD,-3.2160616392218344e-09,R_A3
1648.0740966796875,2018-07-03,31,0.06442183256149292,22,290.24627685546875,290.24627685546875,41,29,0,STANDARD,0.0,R_A3
1631.1873779296875,2018-09-12,1,0.050484780222177505,1,278.98309326171875,278.98309326171875,52,30,0,STANDARD,0.0,R_A4
1627.4293212890625,2018-09-12,1,0.08365979045629501,2,278.8070373535156,278.8070373535156,52,31,0,STANDARD,0.0,R_A4
1629.4896240234375,2018-09-12,2,0.05265757441520691,3,278.9443664550781,278.9443664550781,52,31,0,STANDARD,0.0,R_A4
1631.5498046875,2018-09-12,3,0.05379099026322365,4,279.08172607421875,279.08172607421875,52,31,0,STANDARD,0.0,R_A4
1633.610107421875,2018-09-12,4,0.0566428042948246,5,279.2191162109375,279.2191162109375,52,31,0,STANDARD,0.0,R_A4
1632.3968505859375,2018-09-12,4,0.0568101592361927,6,279.1957702636719,279.1957702636719,52,32,0,STANDARD,0.0,R_A4
1635.880615234375,2018-09-12,4,0.060692157596349716,7,279.2568359375,279.2568359375,51,32,0,STANDARD,0.0,R_A4
1637.321044921875,2018-09-12,4,0.06258904933929443,8,279.38323974609375,279.38323974609375,51,33,0,STANDARD,0.0,R_A4
1635.474609375,2018-09-12,3,0.058845605701208115,9,279.2601318359375,279.2601318359375,51,33,0,STANDARD,0.0,R_A4
1642.1485595703125,2018-09-12,4,0.06342599540948868,10,279.4852294921875,279.4852294921875,50,33,0,STANDARD,0.0,R_A4
1641.132080078125,2018-09-12,4,0.06280478835105896,11,279.49957275390625,279.49957275390625,50,34,0,STANDARD,0.0,R_A4
1639.20703125,2018-09-12,3,0.11844470351934433,12,279.3714599609375,279.3714599609375,50,34,0,STANDARD,0.0,R_A4
1640.9061279296875,2018-09-12,3,0.10054827481508255,13,279.615234375,279.615234375,50,35,0,STANDARD,0.0,R_A4
1639.0426025390625,2018-09-12,2,0.18266624212265015,14,279.49127197265625,279.49127197265625,50,35,0,STANDARD,0.0,R_A4
1641.93212890625,2018-09-12,2,0.23971733450889587,15,279.5404052734375,279.5404052734375,49,35,0,STANDARD,0.0,R_A4
1642.357421875,2018-09-12,30,0.05839268118143082,16,282.5439453125,282.5439453125,49,36,0,STANDARD,0.0,R_A4
1639.6068115234375,2018-09-12,30,0.6495895981788635,17,282.413818359375,282.413818359375,48,36,0,STANDARD,0.0,R_A4
1646.7513427734375,2018-09-12,30,0.06286917626857758,18,282.8524169921875,282.8524169921875,48,37,0,STANDARD,0.0,R_A4
1653.461669921875,2018-09-12,30,0.17810611426830292,19,283.26971435546875,283.26971435546875,48,38,0,STANDARD,0.0,R_A4
