date,amount,phase,containment,zone,region,plume_group
2080-01-01,4.532325520759615e-11,gas,outside,toptherys,all,all
2100-01-01,6.270712368574625e-10,gas,outside,toptherys,all,all
2120-01-01,5.3708474835557875e-09,gas,outside,toptherys,all,all
2140-01-01,3.66782903070272e-08,gas,outside,toptherys,all,all
2160-01-01,2.1037834654221686e-07,gas,outside,toptherys,all,all
2180-01-01,1.0394632260922067e-06,gas,outside,toptherys,all,all
2200-01-01,4.5080467867921265e-06,gas,outside,toptherys,all,all
2020-01-01,8543053.427655132,total,total,topvolantis,all,all
2040-01-01,9650343.234425617,total,total,topvolantis,all,all
2060-01-01,10836583.803754179,total,total,topvolantis,all,all
2080-01-01,12087361.072595004,total,total,topvolantis,all,all
2100-01-01,13385152.915206471,total,total,topvolantis,all,all
2120-01-01,14713814.543111943,total,total,topvolantis,all,all
2140-01-01,16061460.822281005,total,total,topvolantis,all,all
2160-01-01,17421546.859634787,total,total,topvolantis,all,all
2180-01-01,18792632.260271538,total,total,topvolantis,all,all
2200-01-01,20177441.553560313,total,total,topvolantis,all,all
2020-01-01,698229.1191462341,aqueous,total,topvolantis,all,all
2040-01-01,771558.9774016246,aqueous,total,topvolantis,all,all
2060-01-01,843039.8863964835,aqueous,total,topvolantis,all,all
2080-01-01,911366.759371355,aqueous,total,topvolantis,all,all
2100-01-01,975772.3861643615,aqueous,total,topvolantis,all,all
2120-01-01,1036042.4968588101,aqueous,total,topvolantis,all,all
2140-01-01,1092421.014749618,aqueous,total,topvolantis,all,all
2160-01-01,1145491.0706277965,aqueous,total,topvolantis,all,all
2180-01-01,1196062.753237759,aqueous,total,topvolantis,all,all
2200-01-01,1245071.4712576002,aqueous,total,topvolantis,all,all
2020-01-01,7844824.308508898,gas,total,topvolantis,all,all
2040-01-01,8878784.257023992,gas,total,topvolantis,all,all
2060-01-01,9993543.917357694,gas,total,topvolantis,all,all
2080-01-01,11175994.313223649,gas,total,topvolantis,all,all
2100-01-01,12409380.529042112,gas,total,topvolantis,all,all
2120-01-01,13677772.046253132,gas,total,topvolantis,all,all
2140-01-01,14969039.807531387,gas,total,topvolantis,all,all
2160-01-01,16276055.789006993,gas,total,topvolantis,all,all
2180-01-01,17596569.50703378,gas,total,topvolantis,all,all
2200-01-01,18932370.082302712,gas,total,topvolantis,all,all
2020-01-01,8219632.395841982,total,contained,topvolantis,all,all
2040-01-01,9073156.618875798,total,contained,topvolantis,all,all
2060-01-01,9899635.650359675,total,contained,topvolantis,all,all
2080-01-01,10682803.278848141,total,contained,topvolantis,all,all
2100-01-01,11412623.557463735,total,contained,topvolantis,all,all
2120-01-01,12085124.816488698,total,contained,topvolantis,all,all
2140-01-01,12700991.169185748,total,contained,topvolantis,all,all
2160-01-01,13264023.854772821,total,contained,topvolantis,all,all
2180-01-01,13779884.945535075,total,contained,topvolantis,all,all
2200-01-01,14255178.916947972,total,contained,topvolantis,all,all
2020-01-01,697060.2507927422,aqueous,contained,topvolantis,all,all
2040-01-01,769442.7832849008,aqueous,contained,topvolantis,all,all
2060-01-01,839531.7669786881,aqueous,contained,topvolantis,all,all
2080-01-01,905947.7570420741,aqueous,contained,topvolantis,all,all
2100-01-01,967839.6619285704,aqueous,contained,topvolantis,all,all
2120-01-01,1024870.6669296591,aqueous,contained,topvolantis,all,all
2140-01-01,1077098.7877982983,aqueous,contained,topvolantis,all,all
2160-01-01,1124846.3860021268,aqueous,contained,topvolantis,all,all
2180-01-01,1168593.629672398,aqueous,contained,topvolantis,all,all
2200-01-01,1208900.6067923177,aqueous,contained,topvolantis,all,all
2020-01-01,7522572.14504924,gas,contained,topvolantis,all,all
2040-01-01,8303713.835590897,gas,contained,topvolantis,all,all
2060-01-01,9060103.883380987,gas,contained,topvolantis,all,all
2080-01-01,9776855.521806067,gas,contained,topvolantis,all,all
2100-01-01,10444783.895535165,gas,contained,topvolantis,all,all
2120-01-01,11060254.14955904,gas,contained,topvolantis,all,all
2140-01-01,11623892.38138745,gas,contained,topvolantis,all,all
2160-01-01,12139177.468770694,gas,contained,topvolantis,all,all
2180-01-01,12611291.315862676,gas,contained,topvolantis,all,all
2200-01-01,13046278.310155654,gas,contained,topvolantis,all,all
2020-01-01,434.5556256732806,total,hazardous,topvolantis,all,all
2040-01-01,1226.1505351337314,total,hazardous,topvolantis,all,all
2060-01-01,3078.241532298889,total,hazardous,topvolantis,all,all
2080-01-01,7003.053494897228,total,hazardous,topvolantis,all,all
2100-01-01,14646.012006124362,total,hazardous,topvolantis,all,all
2120-01-01,28475.984860730554,total,hazardous,topvolantis,all,all
2140-01-01,51928.217458271014,total,hazardous,topvolantis,all,all
2160-01-01,89438.18828823458,total,hazardous,topvolantis,all,all
2180-01-01,146302.7237459986,total,hazardous,topvolantis,all,all
2200-01-01,228326.67694724348,total,hazardous,topvolantis,all,all
2020-01-01,30.6517538915788,aqueous,hazardous,topvolantis,all,all
2040-01-01,86.48757999327789,aqueous,hazardous,topvolantis,all,all
2060-01-01,217.1264075126745,aqueous,hazardous,topvolantis,all,all
2080-01-01,493.966386656651,aqueous,hazardous,topvolantis,all,all
2100-01-01,1033.0690226580011,aqueous,hazardous,topvolantis,all,all
2120-01-01,2008.5780236283908,aqueous,hazardous,topvolantis,all,all
2140-01-01,3662.8013711552244,aqueous,hazardous,topvolantis,all,all
2160-01-01,6308.599345992114,aqueous,hazardous,topvolantis,all,all
2180-01-01,10319.588142443243,aqueous,hazardous,topvolantis,all,all
2200-01-01,16105.218055399915,aqueous,hazardous,topvolantis,all,all
2020-01-01,403.9038717817018,gas,hazardous,topvolantis,all,all
2040-01-01,1139.6629551404535,gas,hazardous,topvolantis,all,all
2060-01-01,2861.1151247862144,gas,hazardous,topvolantis,all,all
2080-01-01,6509.087108240577,gas,hazardous,topvolantis,all,all
2100-01-01,13612.94298346636,gas,hazardous,topvolantis,all,all
2120-01-01,26467.406837102164,gas,hazardous,topvolantis,all,all
2140-01-01,48265.41608711579,gas,hazardous,topvolantis,all,all
2160-01-01,83129.58894224247,gas,hazardous,topvolantis,all,all
2180-01-01,135983.13560355536,gas,hazardous,topvolantis,all,all
2200-01-01,212221.45889184356,gas,hazardous,topvolantis,all,all
2020-01-01,322986.4761874761,total,outside,topvolantis,all,all
