CONJPOS,PRESSURE,SGAS,WELL,SWAT,DRAWDOWN,WELLMODEL,CONIPOS,CONKPOS,CONIDX,CONBPRES,DATE,DEPTH
20,304.7085266113281,0.0,R_A5,1.0,0,STANDARD,31,5,5,304.7085266113281,2018-01-01,1694.1485595703125
20,304.9246520996094,0.0,R_A5,1.0,0,STANDARD,31,6,6,304.9246520996094,2018-01-01,1696.4290771484375
20,305.446533203125,0.0,R_A5,1.0,0,STANDARD,31,7,7,305.446533203125,2018-01-01,1698.70947265625
20,305.988037109375,0.0,R_A5,1.0,0,STANDARD,31,11,8,305.988037109375,2018-01-01,1707.6488037109375
20,306.1695251464844,0.0,R_A5,1.0,0,STANDARD,31,12,9,306.1695251464844,2018-01-01,1709.5638427734375
21,305.4322814941406,0.0,R_A5,1.0,0,STANDARD,31,12,10,305.4322814941406,2018-01-01,1701.7845458984375
21,305.6291198730469,0.0,R_A5,1.0,0,STANDARD,31,13,11,305.6291198730469,2018-01-01,1703.735107421875
21,305.81396484375,0.0,R_A5,1.0,0,STANDARD,31,14,12,305.81396484375,2018-01-01,1705.6856689453125
21,305.9988098144531,0.0,R_A5,1.0,0,STANDARD,31,15,13,305.9988098144531,2018-01-01,1707.63623046875
21,306.1836853027344,0.0,R_A5,1.0,0,STANDARD,31,16,14,306.1836853027344,2018-01-01,1709.5867919921875
21,306.5135498046875,0.0,R_A5,1.0,0,STANDARD,31,17,15,306.5135498046875,2018-01-01,1711.537353515625
21,306.6856994628906,0.0,R_A5,1.0,0,STANDARD,31,18,16,306.6856994628906,2018-01-01,1713.35400390625
21,306.7843933105469,0.0,R_A5,1.0,0,STANDARD,31,19,17,306.7843933105469,2018-01-01,1714.3951416015625
21,306.75689697265625,0.0,R_A5,1.0,0,STANDARD,31,27,18,306.75689697265625,2018-01-01,1715.7628173828125
21,306.978271484375,0.0,R_A5,1.0,0,STANDARD,31,28,19,306.978271484375,2018-01-01,1718.098388671875
21,307.5054016113281,0.0,R_A5,1.0,0,STANDARD,31,29,20,307.5054016113281,2018-01-01,1720.43408203125
21,307.7267761230469,0.0,R_A5,1.0,0,STANDARD,31,30,21,307.7267761230469,2018-01-01,1722.7696533203125
21,307.9481506347656,0.0,R_A5,1.0,0,STANDARD,31,31,22,307.9481506347656,2018-01-01,1725.105224609375
42,305.11419677734375,0.0,R_A6,1.0,0,STANDARD,17,1,1,305.11419677734375,2018-01-01,1695.20263671875
42,305.2609558105469,0.0,R_A6,1.0,0,STANDARD,17,2,2,305.2609558105469,2018-01-01,1696.7510986328125
42,305.4076843261719,0.0,R_A6,1.0,0,STANDARD,17,3,3,305.4076843261719,2018-01-01,1698.299560546875
42,305.554443359375,0.0,R_A6,1.0,0,STANDARD,17,4,4,305.554443359375,2018-01-01,1699.84814453125
42,305.7012023925781,0.0,R_A6,1.0,0,STANDARD,17,5,5,305.7012023925781,2018-01-01,1701.3966064453125
42,305.84796142578125,0.0,R_A6,1.0,0,STANDARD,17,6,6,305.84796142578125,2018-01-01,1702.9451904296875
42,305.6956481933594,0.0,R_A6,1.0,0,STANDARD,17,7,7,305.6956481933594,2018-01-01,1704.49365234375
42,305.8424072265625,0.0,R_A6,1.0,0,STANDARD,17,8,8,305.8424072265625,2018-01-01,1706.042236328125
42,306.2882080078125,0.0,R_A6,1.0,0,STANDARD,17,9,9,306.2882080078125,2018-01-01,1707.5906982421875
42,306.1291809082031,0.0,R_A6,1.0,0,STANDARD,17,10,10,306.1291809082031,2018-01-01,1709.1392822265625
42,306.3109130859375,0.0,R_A6,1.0,0,STANDARD,17,11,11,306.3109130859375,2018-01-01,1711.055419921875
42,306.52734375,0.0,R_A6,1.0,0,STANDARD,17,12,12,306.52734375,2018-01-01,1713.3392333984375
42,306.7557678222656,0.0,R_A6,1.0,0,STANDARD,17,13,13,306.7557678222656,2018-01-01,1715.623046875
42,306.9721984863281,0.0,R_A6,1.0,0,STANDARD,17,14,14,306.9721984863281,2018-01-01,1717.9068603515625
42,307.18865966796875,0.0,R_A6,1.0,0,STANDARD,17,15,15,307.18865966796875,2018-01-01,1720.190673828125
42,307.55010986328125,0.0,R_A6,1.0,0,STANDARD,17,16,16,307.55010986328125,2018-01-01,1722.474365234375
42,307.7665710449219,0.0,R_A6,1.0,0,STANDARD,17,17,17,307.7665710449219,2018-01-01,1724.7581787109375
42,307.921630859375,0.0,R_A6,1.0,0,STANDARD,17,18,18,307.921630859375,2018-01-01,1726.394287109375
42,307.8930969238281,0.0,R_A6,1.0,0,STANDARD,17,27,19,307.8930969238281,2018-01-01,1727.7508544921875
42,308.3623352050781,0.0,R_A6,1.0,0,STANDARD,17,28,20,308.3623352050781,2018-01-01,1729.4755859375
42,308.52581787109375,0.0,R_A6,1.0,0,STANDARD,17,29,21,308.52581787109375,2018-01-01,1731.2001953125
42,308.68927001953125,0.0,R_A6,1.0,0,STANDARD,17,30,22,308.68927001953125,2018-01-01,1732.9249267578125
42,308.5469665527344,0.0,R_A6,1.0,0,STANDARD,17,31,23,308.5469665527344,2018-01-01,1734.649658203125
30,297.13275146484375,0.0,R_A2,0.053435903042554855,0,STANDARD,22,1,1,297.13275146484375,2018-03-01,1641.094970703125
30,297.2529296875,0.0,R_A2,0.055148895829916,0,STANDARD,22,2,2,297.2529296875,2018-03-01,1642.8890380859375
30,297.3730773925781,0.0,R_A2,0.05799045041203499,0,STANDARD,22,3,3,297.3730773925781,2018-03-01,1644.68310546875
30,297.49322509765625,0.0,R_A2,0.06331884860992432,0,STANDARD,22,4,4,297.49322509765625,2018-03-01,1646.4771728515625
30,297.6134033203125,0.0,R_A2,0.0662742555141449,0,STANDARD,22,5,5,297.6134033203125,2018-03-01,1648.2713623046875
30,297.7716064453125,0.0,R_A2,0.31140631437301636,0,STANDARD,22,6,6,297.7716064453125,2018-03-01,1650.0654296875
30,297.9338684082031,0.0,R_A2,0.8739667534828186,0,STANDARD,22,7,7,297.9338684082031,2018-03-01,1651.859619140625
30,298.0887451171875,0.0,R_A2,0.702319860458374,0,STANDARD,22,8,8,298.0887451171875,2018-03-01,1653.6536865234375
30,298.5987243652344,0.0,R_A2,0.8737639784812927,0,STANDARD,22,9,9,298.5987243652344,2018-03-01,1655.44775390625
30,299.35943603515625,0.0,R_A2,0.8980863690376282,0,STANDARD,22,10,10,299.35943603515625,2018-03-01,1657.2418212890625
30,299.7893371582031,0.0,R_A2,0.06823582202196121,0,STANDARD,22,11,11,299.7893371582031,2018-03-01,1659.1368408203125
30,299.923095703125,0.0,R_A2,0.07079370319843292,0,STANDARD,22,12,12,299.923095703125,2018-03-01,1661.132568359375
