CONIPOS,SGAS,CONJPOS,WELL,CONIDX,DATE,SWAT,PRESSURE,WELLMODEL,CONKPOS,CONBPRES,DRAWDOWN,DEPTH
31,0.0,21,R_A5,17,2018-01-01,1.0,306.5135498046875,STANDARD,17,306.5135498046875,0,1711.537353515625
31,0.0,21,R_A5,18,2018-01-01,1.0,306.6856994628906,STANDARD,18,306.6856994628906,0,1713.35400390625
31,0.0,21,R_A5,19,2018-01-01,1.0,306.7843933105469,STANDARD,19,306.7843933105469,0,1714.3951416015625
31,0.0,21,R_A5,20,2018-01-01,1.0,306.75689697265625,STANDARD,27,306.75689697265625,0,1715.7628173828125
31,0.0,21,R_A5,21,2018-01-01,1.0,306.978271484375,STANDARD,28,306.978271484375,0,1718.098388671875
31,0.0,21,R_A5,22,2018-01-01,1.0,307.5054016113281,STANDARD,29,307.5054016113281,0,1720.43408203125
31,0.0,21,R_A5,23,2018-01-01,1.0,307.7267761230469,STANDARD,30,307.7267761230469,0,1722.7696533203125
31,0.0,21,R_A5,24,2018-01-01,1.0,307.9481506347656,STANDARD,31,307.9481506347656,0,1725.105224609375
17,0.0,42,R_A6,1,2018-01-01,1.0,305.11419677734375,STANDARD,1,305.11419677734375,0,1695.20263671875
17,0.0,42,R_A6,2,2018-01-01,1.0,305.2609558105469,STANDARD,2,305.2609558105469,0,1696.7510986328125
17,0.0,42,R_A6,3,2018-01-01,1.0,305.4076843261719,STANDARD,3,305.4076843261719,0,1698.299560546875
17,0.0,42,R_A6,4,2018-01-01,1.0,305.554443359375,STANDARD,4,305.554443359375,0,1699.84814453125
17,0.0,42,R_A6,5,2018-01-01,1.0,305.7012023925781,STANDARD,5,305.7012023925781,0,1701.3966064453125
17,0.0,42,R_A6,6,2018-01-01,1.0,305.84796142578125,STANDARD,6,305.84796142578125,0,1702.9451904296875
17,0.0,42,R_A6,7,2018-01-01,1.0,305.6956481933594,STANDARD,7,305.6956481933594,0,1704.49365234375
17,0.0,42,R_A6,8,2018-01-01,1.0,305.8424072265625,STANDARD,8,305.8424072265625,0,1706.042236328125
17,0.0,42,R_A6,9,2018-01-01,1.0,306.2882080078125,STANDARD,9,306.2882080078125,0,1707.5906982421875
17,0.0,42,R_A6,10,2018-01-01,1.0,306.4349670410156,STANDARD,10,306.4349670410156,0,1709.1392822265625
17,0.0,42,R_A6,11,2018-01-01,1.0,306.3109130859375,STANDARD,11,306.3109130859375,0,1711.055419921875
17,0.0,42,R_A6,12,2018-01-01,1.0,306.52734375,STANDARD,12,306.52734375,0,1713.3392333984375
17,0.0,42,R_A6,13,2018-01-01,1.0,306.7557678222656,STANDARD,13,306.7557678222656,0,1715.623046875
17,0.0,42,R_A6,14,2018-01-01,1.0,306.9721984863281,STANDARD,14,306.9721984863281,0,1717.9068603515625
17,0.0,42,R_A6,15,2018-01-01,1.0,307.18865966796875,STANDARD,15,307.18865966796875,0,1720.190673828125
17,0.0,42,R_A6,16,2018-01-01,1.0,307.55010986328125,STANDARD,16,307.55010986328125,0,1722.474365234375
17,0.0,42,R_A6,17,2018-01-01,1.0,307.7665710449219,STANDARD,17,307.7665710449219,0,1724.7581787109375
17,0.0,42,R_A6,18,2018-01-01,1.0,307.921630859375,STANDARD,18,307.921630859375,0,1726.394287109375
17,0.0,42,R_A6,19,2018-01-01,1.0,307.8930969238281,STANDARD,27,307.8930969238281,0,1727.7508544921875
17,0.0,42,R_A6,20,2018-01-01,1.0,308.3623352050781,STANDARD,28,308.3623352050781,0,1729.4755859375
17,0.0,42,R_A6,21,2018-01-01,1.0,308.52581787109375,STANDARD,29,308.52581787109375,0,1731.2001953125
17,0.0,42,R_A6,22,2018-01-01,1.0,308.68927001953125,STANDARD,30,308.68927001953125,0,1732.9249267578125
17,0.0,42,R_A6,23,2018-01-01,1.0,308.5469665527344,STANDARD,31,308.5469665527344,0,1734.649658203125
22,0.0,30,R_A2,1,2018-03-01,0.05619651451706886,298.6731872558594,STANDARD,1,298.6731872558594,0,1641.094970703125
22,0.0,30,R_A2,2,2018-03-01,0.059227511286735535,298.7933654785156,STANDARD,2,298.7933654785156,0,1642.8890380859375
22,0.0,30,R_A2,3,2018-03-01,0.06255750358104706,298.9135437011719,STANDARD,3,298.9135437011719,0,1644.68310546875
22,0.0,30,R_A2,4,2018-03-01,0.06850261241197586,299.0337829589844,STANDARD,4,299.0337829589844,0,1646.4771728515625
22,0.0,30,R_A2,5,2018-03-01,0.13602092862129211,299.15423583984375,STANDARD,5,299.15423583984375,0,1648.2713623046875
22,0.0,30,R_A2,6,2018-03-01,0.3050369322299957,299.4414978027344,STANDARD,6,299.4414978027344,0,1650.0654296875
22,0.0,30,R_A2,7,2018-03-01,0.8869974613189697,299.6678466796875,STANDARD,7,299.6678466796875,0,1651.859619140625
22,0.0,30,R_A2,8,2018-03-01,0.6484888195991516,299.8381042480469,STANDARD,8,299.8381042480469,0,1653.6536865234375
