CONIDX,WELLMODEL,DEPTH,CONBPRES,SGAS,PRESSURE,CONKPOS,DATE,DRAWDOWN,CONJPOS,CONIPOS,WELL,SWAT
10,STANDARD,1708.73583984375,269.0766296386719,5.609874544065807e-13,269.0766296386719,10,2018-11-07,0,42,17,R_A6,1.0
11,STANDARD,1710.666748046875,275.9349060058594,-6.115806212153574e-12,275.9349060058594,11,2018-11-07,0,42,17,R_A6,1.0
12,STANDARD,1712.9842529296875,276.1700744628906,-3.4158181925342257e-12,276.1700744628906,12,2018-11-07,0,42,17,R_A6,1.0
13,STANDARD,1715.3016357421875,276.43243408203125,-6.12487559043147e-14,276.43243408203125,13,2018-11-07,0,42,17,R_A6,1.0
14,STANDARD,1717.619140625,276.65191650390625,-3.710551153444583e-14,276.65191650390625,14,2018-11-07,0,42,17,R_A6,1.0
15,STANDARD,1719.9365234375,276.87347412109375,-1.803724473926037e-14,276.87347412109375,15,2018-11-07,0,42,17,R_A6,1.0
16,STANDARD,1722.2540283203125,277.2433776855469,-6.1248397609378006e-15,277.2433776855469,16,2018-11-07,0,42,17,R_A6,1.0
17,STANDARD,1724.5714111328125,277.4677429199219,-9.25775332316723e-15,277.4677429199219,17,2018-11-07,0,42,17,R_A6,1.0
18,STANDARD,1726.0777587890625,277.6122741699219,-1.0710120907275657e-14,277.6122741699219,18,2018-11-07,0,42,17,R_A6,1.0
19,STANDARD,1727.2855224609375,277.79541015625,3.473929789123663e-14,277.79541015625,26,2018-11-07,0,42,17,R_A6,1.0
20,STANDARD,1729.00537109375,278.2806091308594,8.786127749828287e-14,278.2806091308594,27,2018-11-07,0,42,17,R_A6,1.0
21,STANDARD,1730.725341796875,278.1376647949219,1.2245918526183203e-13,278.1376647949219,28,2018-11-07,0,42,17,R_A6,1.0
22,STANDARD,1732.4453125,278.91375732421875,3.8390195398667605e-21,278.91375732421875,29,2018-11-07,0,42,17,R_A6,1.0
23,STANDARD,1734.165283203125,278.25994873046875,-4.2029148038377415e-15,278.25994873046875,30,2018-11-07,0,42,17,R_A6,1.0
