SGAS,CONIPOS,DRAWDOWN,SWAT,CONKPOS,CONJPOS,WELL,CONBPRES,WELLMODEL,PRESSURE,CONIDX,DATE,DEPTH
0.0,29,0,1.0,25,41,R_A3,300.1820373535156,STANDARD,300.1820373535156,17,2018-01-01,1633.4627685546875
0.0,29,0,0.7961876392364502,26,41,R_A3,300.42022705078125,STANDARD,300.42022705078125,18,2018-01-01,1637.01513671875
0.0,29,0,0.16957831382751465,27,41,R_A3,300.6584167480469,STANDARD,300.6584167480469,19,2018-01-01,1640.567626953125
0.0,29,0,0.2766673266887665,28,41,R_A3,300.8966064453125,STANDARD,300.8966064453125,20,2018-01-01,1644.1199951171875
0.0,29,0,0.16588550806045532,29,41,R_A3,301.13482666015625,STANDARD,301.13482666015625,21,2018-01-01,1647.67236328125
0.0,30,0,0.05557544156908989,1,52,R_A4,300.17730712890625,STANDARD,300.17730712890625,1,2018-01-01,1633.39208984375
0.0,31,0,0.05213766172528267,1,52,R_A4,299.93255615234375,STANDARD,299.93255615234375,2,2018-01-01,1629.741455078125
0.0,31,0,0.05416825786232948,2,52,R_A4,300.0725402832031,STANDARD,300.0725402832031,3,2018-01-01,1631.8297119140625
0.0,31,0,0.05402405560016632,3,52,R_A4,300.2125549316406,STANDARD,300.2125549316406,4,2018-01-01,1633.9180908203125
0.0,32,0,0.05461479350924492,3,52,R_A4,300.172119140625,STANDARD,300.172119140625,5,2018-01-01,1633.3148193359375
0.0,32,0,0.05842026323080063,3,51,R_A4,300.3929138183594,STANDARD,300.3929138183594,6,2018-01-01,1636.60791015625
0.0,32,0,0.057541850954294205,2,51,R_A4,300.2666931152344,STANDARD,300.2666931152344,7,2018-01-01,1634.7255859375
0.0,33,0,0.059273041784763336,2,51,R_A4,300.365234375,STANDARD,300.365234375,8,2018-01-01,1636.195068359375
0.0,33,0,0.06072426587343216,3,51,R_A4,300.4952087402344,STANDARD,300.4952087402344,9,2018-01-01,1638.1337890625
0.0,33,0,0.06478073447942734,3,50,R_A4,300.8418884277344,STANDARD,300.8418884277344,10,2018-01-01,1643.3040771484375
0.0,34,0,0.06241706386208534,3,50,R_A4,300.5844421386719,STANDARD,300.5844421386719,11,2018-01-01,1639.464599609375
0.0,34,0,0.1579269915819168,4,50,R_A4,300.7206115722656,STANDARD,300.7206115722656,12,2018-01-01,1641.49560546875
0.0,35,0,0.17725102603435516,4,50,R_A4,300.50787353515625,STANDARD,300.50787353515625,13,2018-01-01,1638.3226318359375
