DRAWDOWN,SWAT,PRESSURE,CONKPOS,CONBPRES,CONIPOS,DATE,WELL,CONIDX,WELLMODEL,CONJPOS,DEPTH,SGAS
0,1.0,306.3287048339844,16,306.3287048339844,31,2018-01-01,R_A5,14,STANDARD,21,1709.5867919921875,0.0
0,1.0,306.5135498046875,17,306.5135498046875,31,2018-01-01,R_A5,15,STANDARD,21,1711.537353515625,0.0
0,1.0,306.6856994628906,18,306.6856994628906,31,2018-01-01,R_A5,16,STANDARD,21,1713.35400390625,0.0
0,1.0,306.7843933105469,19,306.7843933105469,31,2018-01-01,R_A5,17,STANDARD,21,1714.3951416015625,0.0
0,1.0,306.75689697265625,27,306.75689697265625,31,2018-01-01,R_A5,18,STANDARD,21,1715.7628173828125,0.0
0,1.0,306.978271484375,28,306.978271484375,31,2018-01-01,R_A5,19,STANDARD,21,1718.098388671875,0.0
0,1.0,307.5054016113281,29,307.5054016113281,31,2018-01-01,R_A5,20,STANDARD,21,1720.43408203125,0.0
0,1.0,307.7267761230469,30,307.7267761230469,31,2018-01-01,R_A5,21,STANDARD,21,1722.7696533203125,0.0
0,1.0,307.9481506347656,31,307.9481506347656,31,2018-01-01,R_A5,22,STANDARD,21,1725.105224609375,0.0
0,1.0,305.11419677734375,1,305.11419677734375,17,2018-01-01,R_A6,1,STANDARD,42,1695.20263671875,0.0
0,1.0,305.2609558105469,2,305.2609558105469,17,2018-01-01,R_A6,2,STANDARD,42,1696.7510986328125,0.0
0,1.0,305.4076843261719,3,305.4076843261719,17,2018-01-01,R_A6,3,STANDARD,42,1698.299560546875,0.0
0,1.0,305.554443359375,4,305.554443359375,17,2018-01-01,R_A6,4,STANDARD,42,1699.84814453125,0.0
0,1.0,305.7012023925781,5,305.7012023925781,17,2018-01-01,R_A6,5,STANDARD,42,1701.3966064453125,0.0
0,1.0,305.54888916015625,6,305.54888916015625,17,2018-01-01,R_A6,6,STANDARD,42,1702.9451904296875,0.0
0,1.0,305.6956481933594,7,305.6956481933594,17,2018-01-01,R_A6,7,STANDARD,42,1704.49365234375,0.0
0,1.0,305.8424072265625,8,305.8424072265625,17,2018-01-01,R_A6,8,STANDARD,42,1706.042236328125,0.0
0,1.0,306.2882080078125,9,306.2882080078125,17,2018-01-01,R_A6,9,STANDARD,42,1707.5906982421875,0.0
0,1.0,306.1291809082031,10,306.1291809082031,17,2018-01-01,R_A6,10,STANDARD,42,1709.1392822265625,0.0
0,1.0,306.3109130859375,11,306.3109130859375,17,2018-01-01,R_A6,11,STANDARD,42,1711.055419921875,0.0
0,1.0,306.52734375,12,306.52734375,17,2018-01-01,R_A6,12,STANDARD,42,1713.3392333984375,0.0
0,1.0,306.7557678222656,13,306.7557678222656,17,2018-01-01,R_A6,13,STANDARD,42,1715.623046875,0.0
0,1.0,306.9721984863281,14,306.9721984863281,17,2018-01-01,R_A6,14,STANDARD,42,1717.9068603515625,0.0
0,1.0,307.18865966796875,15,307.18865966796875,17,2018-01-01,R_A6,15,STANDARD,42,1720.190673828125,0.0
0,1.0,307.55010986328125,16,307.55010986328125,17,2018-01-01,R_A6,16,STANDARD,42,1722.474365234375,0.0
0,1.0,307.7665710449219,17,307.7665710449219,17,2018-01-01,R_A6,17,STANDARD,42,1724.7581787109375,0.0
0,1.0,307.921630859375,18,307.921630859375,17,2018-01-01,R_A6,18,STANDARD,42,1726.394287109375,0.0
0,1.0,307.8930969238281,27,307.8930969238281,17,2018-01-01,R_A6,19,STANDARD,42,1727.7508544921875,0.0
0,1.0,308.3623352050781,28,308.3623352050781,17,2018-01-01,R_A6,20,STANDARD,42,1729.4755859375,0.0
0,1.0,308.52581787109375,29,308.52581787109375,17,2018-01-01,R_A6,21,STANDARD,42,1731.2001953125,0.0
0,1.0,308.68927001953125,30,308.68927001953125,17,2018-01-01,R_A6,22,STANDARD,42,1732.9249267578125,0.0
0,1.0,308.5469665527344,31,308.5469665527344,17,2018-01-01,R_A6,23,STANDARD,42,1734.649658203125,0.0
0,0.1227266937494278,297.5503234863281,1,297.5503234863281,22,2018-03-01,R_A2,1,STANDARD,30,1641.094970703125,0.0
0,0.063707634806633,297.6706237792969,2,297.6706237792969,22,2018-03-01,R_A2,2,STANDARD,30,1642.8890380859375,0.0
