CONKPOS,SWAT,PRESSURE,WELLMODEL,CONIPOS,DRAWDOWN,DEPTH,SGAS,DATE,WELL,CONIDX,CONJPOS,CONBPRES
11,1.0,306.3109130859375,STANDARD,17,0,1711.055419921875,0.0,2018-01-01,R_A6,11,42,306.3109130859375
12,1.0,306.52734375,STANDARD,17,0,1713.3392333984375,0.0,2018-01-01,R_A6,12,42,306.52734375
13,1.0,306.7557678222656,STANDARD,17,0,1715.623046875,0.0,2018-01-01,R_A6,13,42,306.7557678222656
14,1.0,306.9721984863281,STANDARD,17,0,1717.9068603515625,0.0,2018-01-01,R_A6,14,42,306.9721984863281
15,1.0,307.18865966796875,STANDARD,17,0,1720.190673828125,0.0,2018-01-01,R_A6,15,42,307.18865966796875
16,1.0,307.55010986328125,STANDARD,17,0,1722.474365234375,0.0,2018-01-01,R_A6,16,42,307.55010986328125
17,1.0,307.7665710449219,STANDARD,17,0,1724.7581787109375,0.0,2018-01-01,R_A6,17,42,307.7665710449219
18,1.0,307.921630859375,STANDARD,17,0,1726.394287109375,0.0,2018-01-01,R_A6,18,42,307.921630859375
27,1.0,307.8930969238281,STANDARD,17,0,1727.7508544921875,0.0,2018-01-01,R_A6,19,42,307.8930969238281
28,1.0,308.3623352050781,STANDARD,17,0,1729.4755859375,0.0,2018-01-01,R_A6,20,42,308.3623352050781
29,1.0,308.52581787109375,STANDARD,17,0,1731.2001953125,0.0,2018-01-01,R_A6,21,42,308.52581787109375
30,1.0,308.68927001953125,STANDARD,17,0,1732.9249267578125,0.0,2018-01-01,R_A6,22,42,308.68927001953125
31,1.0,308.5469665527344,STANDARD,17,0,1734.649658203125,0.0,2018-01-01,R_A6,23,42,308.5469665527344
1,0.05639239773154259,296.76556396484375,STANDARD,22,0,1641.094970703125,0.0,2018-03-01,R_A2,1,30,296.76556396484375
2,0.058353886008262634,296.8857116699219,STANDARD,22,0,1642.8890380859375,0.0,2018-03-01,R_A2,2,30,296.8857116699219
3,0.06162114068865776,297.0058288574219,STANDARD,22,0,1644.68310546875,0.0,2018-03-01,R_A2,3,30,297.0058288574219
4,0.0674339085817337,297.1259765625,STANDARD,22,0,1646.4771728515625,0.0,2018-03-01,R_A2,4,30,297.1259765625
5,0.0708269327878952,297.24615478515625,STANDARD,22,0,1648.2713623046875,0.0,2018-03-01,R_A2,5,30,297.24615478515625
6,0.32037752866744995,297.4056701660156,STANDARD,22,0,1650.0654296875,0.0,2018-03-01,R_A2,6,30,297.4056701660156
7,0.8927690386772156,297.56585693359375,STANDARD,22,0,1651.859619140625,0.0,2018-03-01,R_A2,7,30,297.56585693359375
8,0.720146894454956,297.74554443359375,STANDARD,22,0,1653.6536865234375,0.0,2018-03-01,R_A2,8,30,297.74554443359375
9,0.8953906297683716,298.23736572265625,STANDARD,22,0,1655.44775390625,0.0,2018-03-01,R_A2,9,30,298.23736572265625
10,0.9251589775085449,299.05126953125,STANDARD,22,0,1657.2418212890625,0.0,2018-03-01,R_A2,10,30,299.05126953125
11,0.07574556022882462,299.59002685546875,STANDARD,22,0,1659.1368408203125,0.0,2018-03-01,R_A2,11,30,299.59002685546875
12,0.07922908663749695,299.7237548828125,STANDARD,22,0,1661.132568359375,0.0,2018-03-01,R_A2,12,30,299.7237548828125
13,0.43940743803977966,299.8587646484375,STANDARD,22,0,1663.12841796875,0.0,2018-03-01,R_A2,13,30,299.8587646484375
14,0.499097615480423,299.99566650390625,STANDARD,22,0,1665.1241455078125,0.0,2018-03-01,R_A2,14,30,299.99566650390625
15,0.68146151304245,300.1358642578125,STANDARD,22,0,1667.1199951171875,0.0,2018-03-01,R_A2,15,30,300.1358642578125
16,0.965701162815094,300.2703552246094,STANDARD,22,0,1669.11572265625,0.0,2018-03-01,R_A2,16,30,300.2703552246094
17,0.9630834460258484,300.4059143066406,STANDARD,22,0,1671.111572265625,0.0,2018-03-01,R_A2,17,30,300.4059143066406
18,0.9844096899032593,300.53314208984375,STANDARD,22,0,1672.9881591796875,0.0,2018-03-01,R_A2,18,30,300.53314208984375
18,0.9940577149391174,300.5412902832031,STANDARD,22,0,1674.229736328125,0.0,2018-03-01,R_A2,19,29,300.5412902832031
27,1.0,303.0278625488281,STANDARD,22,0,1676.1676025390625,-3.853135142307479e-16,2018-03-01,R_A2,20,29,303.0278625488281
28,1.0,303.46734619140625,STANDARD,22,0,1677.9368896484375,-7.002737027073051e-17,2018-03-01,R_A2,21,29,303.46734619140625
29,1.0,303.6301574707031,STANDARD,22,0,1679.7061767578125,-2.1742819595315657e-17,2018-03-01,R_A2,22,29,303.6301574707031
30,1.0,303.7931213378906,STANDARD,22,0,1681.4754638671875,-2.7940967884007667e-18,2018-03-01,R_A2,23,29,303.7931213378906
31,1.0,303.9673767089844,STANDARD,22,0,1683.2447509765625,-2.0704386308399689e-19,2018-03-01,R_A2,24,29,303.9673767089844
1,1.0,274.72894287109375,STANDARD,31,0,1685.026611328125,-1.7093308840560013e-16,2018-04-28,R_A5,1,20,274.72894287109375
2,1.0,274.9441223144531,STANDARD,31,0,1687.3070068359375,-1.2829505126248455e-16,2018-04-28,R_A5,2,20,274.9441223144531
3,1.0,275.4627685546875,STANDARD,31,0,1689.5875244140625,-1.4383514453800802e-17,2018-04-28,R_A5,3,20,275.4627685546875
4,1.0,275.3697204589844,STANDARD,31,0,1691.8680419921875,-5.153284923624119e-15,2018-04-28,R_A5,4,20,275.3697204589844
5,1.0,275.5846252441406,STANDARD,31,0,1694.1485595703125,-1.9353095176226874e-14,2018-04-28,R_A5,5,20,275.5846252441406
6,1.0,275.800048828125,STANDARD,31,0,1696.4290771484375,-1.8391060565723857e-14,2018-04-28,R_A5,6,20,275.800048828125
7,1.0,276.3344421386719,STANDARD,31,0,1698.70947265625,-1.6854794156431654e-15,2018-04-28,R_A5,7,20,276.3344421386719
11,1.0,277.4804382324219,STANDARD,31,0,1707.6488037109375,-3.5942912058120613e-13,2018-04-28,R_A5,8,20,277.4804382324219
12,1.0,277.677001953125,STANDARD,31,0,1709.5638427734375,-3.387316197932949e-13,2018-04-28,R_A5,9,20,277.677001953125
12,1.0,276.4443054199219,STANDARD,31,0,1701.7845458984375,-7.428841396206476e-12,2018-04-28,R_A5,10,21,276.4443054199219
13,1.0,276.64495849609375,STANDARD,31,0,1703.735107421875,-2.6040459935941507e-13,2018-04-28,R_A5,11,21,276.64495849609375
14,1.0,276.83502197265625,STANDARD,31,0,1705.6856689453125,-5.885073244699113e-13,2018-04-28,R_A5,12,21,276.83502197265625
15,1.0,277.0294189453125,STANDARD,31,0,1707.63623046875,-1.944430266754768e-13,2018-04-28,R_A5,13,21,277.0294189453125
16,1.0,277.4309997558594,STANDARD,31,0,1709.5867919921875,-5.3404920459868e-13,2018-04-28,R_A5,14,21,277.4309997558594
17,1.0,278.1512451171875,STANDARD,31,0,1711.537353515625,-7.119324118946835e-14,2018-04-28,R_A5,15,21,278.1512451171875
18,1.0,278.5742492675781,STANDARD,31,0,1713.35400390625,-1.9296711581059944e-13,2018-04-28,R_A5,16,21,278.5742492675781
19,1.0,278.80224609375,STANDARD,31,0,1714.3951416015625,0.0,2018-04-28,R_A5,17,21,278.80224609375
27,1.0,278.8489990234375,STANDARD,31,0,1715.7628173828125,-9.808160143440214e-13,2018-04-28,R_A5,18,21,278.8489990234375
28,1.0,279.0776062011719,STANDARD,31,0,1718.098388671875,-8.854100720830094e-13,2018-04-28,R_A5,19,21,279.0776062011719
29,1.0,291.18231201171875,STANDARD,31,0,1720.43408203125,6.124696883038721e-21,2018-04-28,R_A5,20,21,291.18231201171875
30,1.0,293.3424987792969,STANDARD,31,0,1722.7696533203125,3.7454996630342516e-20,2018-04-28,R_A5,21,21,293.3424987792969
31,1.0,284.9980163574219,STANDARD,31,0,1725.105224609375,2.7265417491047794e-20,2018-04-28,R_A5,22,21,284.9980163574219
1,0.649365246295929,281.5582580566406,STANDARD,28,0,1609.243408203125,0.0,2018-07-03,R_A3,1,41,281.5582580566406
2,0.19331127405166626,281.7565612792969,STANDARD,28,0,1611.3077392578125,0.0,2018-07-03,R_A3,2,41,281.7565612792969
3,0.19408796727657318,281.89630126953125,STANDARD,28,0,1613.3720703125,0.0,2018-07-03,R_A3,3,41,281.89630126953125
4,0.2493024468421936,282.0396423339844,STANDARD,28,0,1615.4365234375,0.0,2018-07-03,R_A3,4,41,282.0396423339844
5,0.6492976546287537,282.18035888671875,STANDARD,28,0,1617.5008544921875,0.0,2018-07-03,R_A3,5,41,282.18035888671875
6,0.14985066652297974,282.3187255859375,STANDARD,28,0,1619.565185546875,0.0,2018-07-03,R_A3,6,41,282.3187255859375
6,0.27481862902641296,281.6155090332031,STANDARD,29,0,1609.3663330078125,0.0,2018-07-03,R_A3,7,41,281.6155090332031
7,0.1985790729522705,281.752197265625,STANDARD,29,0,1611.4163818359375,0.0,2018-07-03,R_A3,8,41,281.752197265625
8,0.14600250124931335,281.8889465332031,STANDARD,29,0,1613.46630859375,0.0,2018-07-03,R_A3,9,41,281.8889465332031
9,0.6503663659095764,282.0257263183594,STANDARD,29,0,1615.516357421875,0.0,2018-07-03,R_A3,10,41,282.0257263183594
10,0.8012939691543579,282.6902770996094,STANDARD,29,0,1617.5662841796875,0.0,2018-07-03,R_A3,11,41,282.6902770996094
11,0.048269759863615036,282.81695556640625,STANDARD,29,0,1619.750732421875,0.0,2018-07-03,R_A3,12,41,282.81695556640625
12,0.05381431803107262,282.9718322753906,STANDARD,29,0,1622.0697021484375,0.0,2018-07-03,R_A3,13,41,282.9718322753906
13,0.37244749069213867,283.1269836425781,STANDARD,29,0,1624.388671875,0.0,2018-07-03,R_A3,14,41,283.1269836425781
14,0.3457812964916229,283.3577575683594,STANDARD,29,0,1626.707763671875,0.0,2018-07-03,R_A3,15,41,283.3577575683594
15,0.49291449785232544,283.7247314453125,STANDARD,29,0,1629.026611328125,0.0,2018-07-03,R_A3,16,41,283.7247314453125
16,0.798907458782196,283.8883361816406,STANDARD,29,0,1630.9468994140625,0.0,2018-07-03,R_A3,17,41,283.8883361816406
27,0.649004340171814,286.76043701171875,STANDARD,29,0,1633.5262451171875,0.0,2018-07-03,R_A3,18,41,286.76043701171875
28,0.0456608384847641,284.7216796875,STANDARD,29,0,1637.1630859375,0.0,2018-07-03,R_A3,19,41,284.7216796875
29,0.052059516310691833,284.9645690917969,STANDARD,29,0,1640.8001708984375,0.0,2018-07-03,R_A3,20,41,284.9645690917969
30,0.6492041349411011,285.2098693847656,STANDARD,29,0,1644.4371337890625,0.0,2018-07-03,R_A3,21,41,285.2098693847656
31,0.060928232967853546,285.4561462402344,STANDARD,29,0,1648.0740966796875,0.0,2018-07-03,R_A3,22,41,285.4561462402344
1,0.051666781306266785,276.53057861328125,STANDARD,30,0,1631.1873779296875,0.0,2018-09-12,R_A4,1,52,276.53057861328125
1,0.05067211017012596,276.4985046386719,STANDARD,31,0,1627.4293212890625,0.0,2018-09-12,R_A4,2,52,276.4985046386719
