WELLMODEL,CONJPOS,DEPTH,WELL,DATE,CONIPOS,SWAT,SGAS,PRESSURE,CONIDX,CONBPRES,DRAWDOWN,CONKPOS
STANDARD,21,1718.582275390625,R_A5,2018-01-01,31,1.0,0.0,307.0241394042969,19,307.0241394042969,0,26
STANDARD,21,1720.8272705078125,R_A5,2018-01-01,31,1.0,0.0,307.5426940917969,20,307.5426940917969,0,27
STANDARD,21,1723.0721435546875,R_A5,2018-01-01,31,1.0,0.0,307.7554626464844,21,307.7554626464844,0,28
STANDARD,21,1725.317138671875,R_A5,2018-01-01,31,1.0,0.0,307.9682312011719,22,307.9682312011719,0,29
STANDARD,42,1694.407470703125,R_A6,2018-01-01,17,1.0,0.0,305.0388488769531,1,305.0388488769531,0,1
STANDARD,42,1695.944091796875,R_A6,2018-01-01,17,1.0,0.0,305.1844787597656,2,305.1844787597656,0,2
STANDARD,42,1697.480712890625,R_A6,2018-01-01,17,1.0,0.0,305.330078125,3,305.330078125,0,3
STANDARD,42,1699.017333984375,R_A6,2018-01-01,17,1.0,0.0,305.4757080078125,4,305.4757080078125,0,4
STANDARD,42,1700.553955078125,R_A6,2018-01-01,17,1.0,0.0,305.621337890625,5,305.621337890625,0,5
STANDARD,42,1702.090576171875,R_A6,2018-01-01,17,1.0,0.0,305.7669677734375,6,305.7669677734375,0,6
STANDARD,42,1703.6273193359375,R_A6,2018-01-01,17,1.0,0.0,305.6135559082031,7,305.6135559082031,0,7
STANDARD,42,1705.1639404296875,R_A6,2018-01-01,17,1.0,0.0,305.7591552734375,8,305.7591552734375,0,8
STANDARD,42,1706.7005615234375,R_A6,2018-01-01,17,1.0,0.0,306.203857421875,9,306.203857421875,0,9
STANDARD,42,1708.2371826171875,R_A6,2018-01-01,17,1.0,0.0,306.043701171875,10,306.043701171875,0,10
STANDARD,42,1710.1146240234375,R_A6,2018-01-01,17,1.0,0.0,306.22174072265625,11,306.22174072265625,0,11
STANDARD,42,1712.332763671875,R_A6,2018-01-01,17,1.0,0.0,306.43194580078125,12,306.43194580078125,0,12
STANDARD,42,1714.5509033203125,R_A6,2018-01-01,17,1.0,0.0,306.6541442871094,13,306.6541442871094,0,13
STANDARD,42,1716.76904296875,R_A6,2018-01-01,17,1.0,0.0,306.8643493652344,14,306.8643493652344,0,14
STANDARD,42,1718.9871826171875,R_A6,2018-01-01,17,1.0,0.0,307.0745849609375,15,307.0745849609375,0,15
STANDARD,42,1721.205322265625,R_A6,2018-01-01,17,1.0,0.0,307.4298400878906,16,307.4298400878906,0,16
STANDARD,42,1723.423583984375,R_A6,2018-01-01,17,1.0,0.0,307.64007568359375,17,307.64007568359375,0,17
STANDARD,42,1725.1859130859375,R_A6,2018-01-01,17,1.0,0.0,307.8070983886719,18,307.8070983886719,0,18
STANDARD,42,1726.6951904296875,R_A6,2018-01-01,17,1.0,0.0,307.79302978515625,19,307.79302978515625,0,25
STANDARD,42,1728.4071044921875,R_A6,2018-01-01,17,1.0,0.0,308.2610778808594,20,308.2610778808594,0,26
STANDARD,42,1730.119140625,R_A6,2018-01-01,17,1.0,0.0,308.42333984375,21,308.42333984375,0,27
