PRESSURE,DRAWDOWN,WELLMODEL,CONIDX,DATE,WELL,CONBPRES,SGAS,CONJPOS,CONIPOS,CONKPOS,DEPTH,SWAT
300.0125427246094,0,STANDARD,14,2018-03-01,R_A2,300.0125427246094,0.0,30,22,14,1665.1241455078125,0.5040408372879028
300.1519775390625,0,STANDARD,15,2018-03-01,R_A2,300.1519775390625,0.0,30,22,15,1667.1199951171875,0.6873592734336853
300.2864685058594,0,STANDARD,16,2018-03-01,R_A2,300.2864685058594,0.0,30,22,16,1669.11572265625,0.9696411490440369
300.42193603515625,0,STANDARD,17,2018-03-01,R_A2,300.42193603515625,0.0,30,22,17,1671.111572265625,0.9681501984596252
300.5491027832031,0,STANDARD,18,2018-03-01,R_A2,300.5491027832031,0.0,30,22,18,1672.9881591796875,0.9883118867874146
300.55548095703125,0,STANDARD,19,2018-03-01,R_A2,300.55548095703125,0.0,29,22,18,1674.229736328125,0.9956542253494263
303.01519775390625,0,STANDARD,20,2018-03-01,R_A2,303.01519775390625,-6.953319933790153e-16,29,22,27,1676.1676025390625,1.0
303.4674072265625,0,STANDARD,21,2018-03-01,R_A2,303.4674072265625,-9.735440677205285e-17,29,22,28,1677.9368896484375,1.0
303.6302490234375,0,STANDARD,22,2018-03-01,R_A2,303.6302490234375,-2.0087859491446113e-17,29,22,29,1679.7061767578125,1.0
303.7932434082031,0,STANDARD,23,2018-03-01,R_A2,303.7932434082031,-3.401663016272497e-18,29,22,30,1681.4754638671875,1.0
303.9674377441406,0,STANDARD,24,2018-03-01,R_A2,303.9674377441406,-3.008588753741253e-19,29,22,31,1683.2447509765625,1.0
275.1300354003906,0,STANDARD,1,2018-04-28,R_A5,275.1300354003906,-2.6415929482075193e-16,20,31,1,1685.026611328125,1.0
275.34527587890625,0,STANDARD,2,2018-04-28,R_A5,275.34527587890625,-1.980078612898734e-16,20,31,2,1687.3070068359375,1.0
275.8641662597656,0,STANDARD,3,2018-04-28,R_A5,275.8641662597656,-1.7046974814856222e-17,20,31,3,1689.5875244140625,1.0
275.7714538574219,0,STANDARD,4,2018-04-28,R_A5,275.7714538574219,-8.269694472392772e-15,20,31,4,1691.8680419921875,1.0
275.9864501953125,0,STANDARD,5,2018-04-28,R_A5,275.9864501953125,-3.1083307179243305e-14,20,31,5,1694.1485595703125,1.0
276.2019348144531,0,STANDARD,6,2018-04-28,R_A5,276.2019348144531,-2.951036699619207e-14,20,31,6,1696.4290771484375,1.0
276.7357177734375,0,STANDARD,7,2018-04-28,R_A5,276.7357177734375,-2.718795130910302e-15,20,31,7,1698.70947265625,1.0
277.9735412597656,0,STANDARD,8,2018-04-28,R_A5,277.9735412597656,-8.004736196803863e-13,20,31,11,1707.6488037109375,1.0
278.1716613769531,0,STANDARD,9,2018-04-28,R_A5,278.1716613769531,-7.47634484703219e-13,20,31,12,1709.5638427734375,1.0
276.9447326660156,0,STANDARD,10,2018-04-28,R_A5,276.9447326660156,-7.472411578390847e-11,21,31,12,1701.7845458984375,1.0
277.1454772949219,0,STANDARD,11,2018-04-28,R_A5,277.1454772949219,-2.600836429902942e-12,21,31,13,1703.735107421875,1.0
277.3356628417969,0,STANDARD,12,2018-04-28,R_A5,277.3356628417969,-5.826915339124383e-12,21,31,14,1705.6856689453125,1.0
277.5303039550781,0,STANDARD,13,2018-04-28,R_A5,277.5303039550781,-1.8939513585919387e-12,21,31,15,1707.63623046875,1.0
277.93731689453125,0,STANDARD,14,2018-04-28,R_A5,277.93731689453125,-3.732128755346009e-12,21,31,16,1709.5867919921875,1.0
278.65020751953125,0,STANDARD,15,2018-04-28,R_A5,278.65020751953125,-3.216494182545909e-13,21,31,17,1711.537353515625,1.0
279.0677490234375,0,STANDARD,16,2018-04-28,R_A5,279.0677490234375,-7.344911354470463e-13,21,31,18,1713.35400390625,1.0
279.29241943359375,0,STANDARD,17,2018-04-28,R_A5,279.29241943359375,0.0,21,31,19,1714.3951416015625,1.0
279.3372802734375,0,STANDARD,18,2018-04-28,R_A5,279.3372802734375,-1.1634394619583488e-12,21,31,27,1715.7628173828125,1.0
279.56488037109375,0,STANDARD,19,2018-04-28,R_A5,279.56488037109375,-1.0404961397689205e-12,21,31,28,1718.098388671875,1.0
291.3606872558594,0,STANDARD,20,2018-04-28,R_A5,291.3606872558594,-6.103027093591176e-20,21,31,29,1720.43408203125,1.0
293.4811096191406,0,STANDARD,21,2018-04-28,R_A5,293.4811096191406,1.2131525213991323e-19,21,31,30,1722.7696533203125,1.0
285.31011962890625,0,STANDARD,22,2018-04-28,R_A5,285.31011962890625,3.2707034198015836e-19,21,31,31,1725.105224609375,1.0
281.9353942871094,0,STANDARD,1,2018-07-03,R_A3,281.9353942871094,0.0,41,28,1,1609.243408203125,0.6493421792984009
282.1328430175781,0,STANDARD,2,2018-07-03,R_A3,282.1328430175781,0.0,41,28,2,1611.3077392578125,0.19371293485164642
282.2725524902344,0,STANDARD,3,2018-07-03,R_A3,282.2725524902344,0.0,41,28,3,1613.3720703125,0.19450443983078003
282.4158020019531,0,STANDARD,4,2018-07-03,R_A3,282.4158020019531,0.0,41,28,4,1615.4365234375,0.2497311383485794
282.55645751953125,0,STANDARD,5,2018-07-03,R_A3,282.55645751953125,0.0,41,28,5,1617.5008544921875,0.6492721438407898
282.69482421875,0,STANDARD,6,2018-07-03,R_A3,282.69482421875,0.0,41,28,6,1619.565185546875,0.15017914772033691
281.9920959472656,0,STANDARD,7,2018-07-03,R_A3,281.9920959472656,0.0,41,29,6,1609.3663330078125,0.2752498686313629
282.12884521484375,0,STANDARD,8,2018-07-03,R_A3,282.12884521484375,0.0,41,29,7,1611.4163818359375,0.1989896297454834
282.265625,0,STANDARD,9,2018-07-03,R_A3,282.265625,0.0,41,29,8,1613.46630859375,0.14633499085903168
282.40240478515625,0,STANDARD,10,2018-07-03,R_A3,282.40240478515625,0.0,41,29,9,1615.516357421875,0.6503276824951172
283.03271484375,0,STANDARD,11,2018-07-03,R_A3,283.03271484375,0.0,41,29,10,1617.5662841796875,0.8020862340927124
283.1939392089844,0,STANDARD,12,2018-07-03,R_A3,283.1939392089844,0.0,41,29,11,1619.750732421875,0.04844148829579353
283.34881591796875,0,STANDARD,13,2018-07-03,R_A3,283.34881591796875,0.0,41,29,12,1622.0697021484375,0.05401773750782013
283.50396728515625,0,STANDARD,14,2018-07-03,R_A3,283.50396728515625,0.0,41,29,13,1624.388671875,0.3731556534767151
283.730224609375,0,STANDARD,15,2018-07-03,R_A3,283.730224609375,0.0,41,29,14,1626.707763671875,0.34642770886421204
284.07452392578125,0,STANDARD,16,2018-07-03,R_A3,284.07452392578125,0.0,41,29,15,1629.026611328125,0.4936971664428711
284.23602294921875,0,STANDARD,17,2018-07-03,R_A3,284.23602294921875,0.0,41,29,16,1630.9468994140625,0.7999346256256104
287.02557373046875,0,STANDARD,18,2018-07-03,R_A3,287.02557373046875,0.0,41,29,27,1633.5262451171875,0.6489866971969604
285.1351013183594,0,STANDARD,19,2018-07-03,R_A3,285.1351013183594,0.0,41,29,28,1637.1630859375,0.04589969292283058
285.3780517578125,0,STANDARD,20,2018-07-03,R_A3,285.3780517578125,0.0,41,29,29,1640.8001708984375,0.05235967040061951
285.6228332519531,0,STANDARD,21,2018-07-03,R_A3,285.6228332519531,0.0,41,29,30,1644.4371337890625,0.6491543054580688
285.8683166503906,0,STANDARD,22,2018-07-03,R_A3,285.8683166503906,0.0,41,29,31,1648.0740966796875,0.0613710917532444
276.9564514160156,0,STANDARD,1,2018-09-12,R_A4,276.9564514160156,0.0,52,30,1,1631.1873779296875,0.05189923569560051
