DATE,WELLMODEL,CONJPOS,DRAWDOWN,PRESSURE,CONIPOS,SWAT,WELL,CONIDX,CONKPOS,SGAS,CONBPRES,DEPTH
2018-01-01,STANDARD,42,0,307.8524475097656,17,1.0,R_A6,18,18,0.0,307.8524475097656,1725.664306640625
2018-01-01,STANDARD,42,0,307.83526611328125,17,1.0,R_A6,19,25,0.0,307.83526611328125,1727.140625
2018-01-01,STANDARD,42,0,308.3038635253906,17,1.0,R_A6,20,26,0.0,308.3038635253906,1728.8583984375
2018-01-01,STANDARD,42,0,308.4666748046875,17,1.0,R_A6,21,27,0.0,308.4666748046875,1730.5762939453125
2018-01-01,STANDARD,42,0,308.6294860839844,17,1.0,R_A6,22,28,0.0,308.6294860839844,1732.294189453125
2018-01-01,STANDARD,42,0,308.4865417480469,17,1.0,R_A6,23,29,0.0,308.4865417480469,1734.011962890625
2018-03-01,STANDARD,30,0,298.55322265625,22,0.05202895775437355,R_A2,1,1,0.0,298.55322265625,1640.2078857421875
2018-03-01,STANDARD,30,0,298.66900634765625,22,0.05562516301870346,R_A2,2,2,0.0,298.66900634765625,1641.935791015625
2018-03-01,STANDARD,30,0,298.7848205566406,22,0.0561845526099205,R_A2,3,3,0.0,298.7848205566406,1643.663818359375
2018-03-01,STANDARD,30,0,298.900634765625,22,0.0620989166200161,R_A2,4,4,0.0,298.900634765625,1645.391845703125
2018-03-01,STANDARD,30,0,299.0164794921875,22,0.06434902548789978,R_A2,5,5,0.0,299.0164794921875,1647.119873046875
2018-03-01,STANDARD,30,0,299.1504211425781,22,0.2961745262145996,R_A2,6,6,0.0,299.1504211425781,1648.8477783203125
2018-03-01,STANDARD,30,0,299.2749938964844,22,0.8713696599006653,R_A2,7,7,0.0,299.2749938964844,1650.5758056640625
2018-03-01,STANDARD,30,0,299.399169921875,22,0.8474458456039429,R_A2,8,8,0.0,299.399169921875,1652.3037109375
2018-03-01,STANDARD,30,0,299.8167419433594,22,0.8665972948074341,R_A2,9,9,0.0,299.8167419433594,1654.03173828125
2018-03-01,STANDARD,30,0,300.11090087890625,22,0.8860416412353516,R_A2,10,10,0.0,300.11090087890625,1655.759765625
2018-03-01,STANDARD,30,0,300.18426513671875,22,0.067305788397789,R_A2,11,11,0.0,300.18426513671875,1657.631103515625
2018-03-01,STANDARD,30,0,300.3194580078125,22,0.13043135404586792,R_A2,12,12,0.0,300.3194580078125,1659.64599609375
2018-03-01,STANDARD,30,0,300.45501708984375,22,0.42380163073539734,R_A2,13,13,0.0,300.45501708984375,1661.6607666015625
2018-03-01,STANDARD,30,0,300.59088134765625,22,0.45863038301467896,R_A2,14,14,0.0,300.59088134765625,1663.675537109375
2018-03-01,STANDARD,30,0,300.73095703125,22,0.8928377628326416,R_A2,15,15,0.0,300.73095703125,1665.6903076171875
2018-03-01,STANDARD,30,0,300.86895751953125,22,0.9094575643539429,R_A2,16,16,0.0,300.86895751953125,1667.7052001953125
2018-03-01,STANDARD,29,0,301.2354736328125,22,0.9400131106376648,R_A2,17,16,0.0,301.2354736328125,1673.0543212890625
2018-03-01,STANDARD,29,0,301.3751525878906,22,0.9333763718605042,R_A2,18,17,0.0,301.3751525878906,1675.137451171875
2018-03-01,STANDARD,29,0,301.4973449707031,22,0.9906892776489258,R_A2,19,18,0.0,301.4973449707031,1676.96044921875
2018-03-01,STANDARD,29,0,303.2350158691406,22,1.0,R_A2,20,25,-3.6581507267818836e-10,303.2350158691406,1678.6195068359375
2018-03-01,STANDARD,29,0,303.3069763183594,22,1.0,R_A2,21,26,3.057862724098664e-17,303.3069763183594,1680.352783203125
2018-03-01,STANDARD,29,0,303.5701904296875,22,1.0,R_A2,22,27,-5.508788463235012e-15,303.5701904296875,1682.086181640625
2018-03-01,STANDARD,29,0,303.2908630371094,22,1.0,R_A2,23,28,-2.0935824688456117e-13,303.2908630371094,1683.819580078125
2018-03-01,STANDARD,29,0,302.952392578125,22,0.9999991059303284,R_A2,24,29,0.0,302.952392578125,1685.552978515625
2018-04-28,STANDARD,20,0,280.9820861816406,31,0.9999999403953552,R_A5,1,1,-3.6276466275353414e-09,280.9820861816406,1685.1463623046875
2018-04-28,STANDARD,20,0,281.1762390136719,31,0.9999999403953552,R_A5,2,2,-3.2846627640026327e-09,281.1762390136719,1687.19970703125
2018-04-28,STANDARD,20,0,281.3702087402344,31,0.9999999403953552,R_A5,3,3,-3.6554468341165602e-09,281.3702087402344,1689.253173828125
2018-04-28,STANDARD,20,0,281.5638427734375,31,0.9999999403953552,R_A5,4,4,-3.1298155178660636e-09,281.5638427734375,1691.3065185546875
2018-04-28,STANDARD,20,0,281.7574768066406,31,1.0,R_A5,5,5,-6.4008492950407e-10,281.7574768066406,1693.35986328125
2018-04-28,STANDARD,20,0,281.95245361328125,31,0.9999999403953552,R_A5,6,6,-3.311967367025659e-09,281.95245361328125,1695.413330078125
2018-04-28,STANDARD,20,0,282.4573059082031,31,1.0,R_A5,7,7,-1.191602483352483e-09,282.4573059082031,1697.4666748046875
2018-04-28,STANDARD,20,0,282.71649169921875,31,1.0,R_A5,8,8,-7.561876125272704e-10,282.71649169921875,1699.5201416015625
2018-04-28,STANDARD,21,0,281.9949035644531,31,1.0,R_A5,9,9,-9.988409405137233e-11,281.9949035644531,1696.600341796875
2018-04-28,STANDARD,21,0,282.28582763671875,31,1.0,R_A5,10,10,-1.6027732960277596e-11,282.28582763671875,1698.8775634765625
2018-04-28,STANDARD,21,0,281.2724609375,31,1.0,R_A5,11,11,-2.941064614070399e-10,281.2724609375,1701.022705078125
2018-04-28,STANDARD,21,0,281.4813537597656,31,1.0,R_A5,12,12,-2.659694409157254e-10,281.4813537597656,1703.0357666015625
2018-04-28,STANDARD,21,0,281.6847229003906,31,1.0,R_A5,13,13,-7.208184136381357e-12,281.6847229003906,1705.048828125
2018-04-28,STANDARD,21,0,281.8770446777344,31,1.0,R_A5,14,14,-7.557799004687116e-12,281.8770446777344,1707.06201171875
2018-04-28,STANDARD,21,0,282.0699157714844,31,1.0,R_A5,15,15,-6.249552091108779e-12,282.0699157714844,1709.074951171875
2018-04-28,STANDARD,21,0,282.4111633300781,31,1.0,R_A5,16,16,-7.902681872611061e-13,282.4111633300781,1711.0880126953125
2018-04-28,STANDARD,21,0,282.60498046875,31,1.0,R_A5,17,17,-1.2430180582750916e-12,282.60498046875,1713.0870361328125
