SWAT,DRAWDOWN,DATE,CONJPOS,CONKPOS,CONIDX,CONBPRES,WELL,SGAS,DEPTH,PRESSURE,WELLMODEL,CONIPOS
0.04210047423839569,0,2018-01-01,41,27,18,300.5738830566406,R_A3,0.0,1637.859619140625,300.5738830566406,STANDARD,29
0.04796674847602844,0,2018-01-01,41,28,19,300.806884765625,R_A3,0.0,1641.3348388671875,300.806884765625,STANDARD,29
0.6481541991233826,0,2018-01-01,41,29,20,301.0399169921875,R_A3,0.0,1644.8099365234375,301.0399169921875,STANDARD,29
0.059377435594797134,0,2018-01-01,41,30,21,301.27294921875,R_A3,0.0,1648.28515625,301.27294921875,STANDARD,29
0.049227382987737656,0,2018-01-01,52,1,1,300.1473693847656,R_A4,0.0,1631.4986572265625,300.1473693847656,STANDARD,30
0.1242191419005394,0,2018-01-01,52,1,2,299.8133239746094,R_A4,0.0,1626.515869140625,299.8133239746094,STANDARD,31
0.04823514074087143,0,2018-01-01,52,2,3,299.9548645019531,R_A4,0.0,1628.626953125,299.9548645019531,STANDARD,31
0.050758447498083115,0,2018-01-01,52,3,4,300.09637451171875,R_A4,0.0,1630.7379150390625,300.09637451171875,STANDARD,31
0.05240243673324585,0,2018-01-01,52,4,5,300.2379150390625,R_A4,0.0,1632.848876953125,300.2379150390625,STANDARD,31
0.0518324039876461,0,2018-01-01,52,4,6,300.1307067871094,R_A4,0.0,1631.2501220703125,300.1307067871094,STANDARD,32
0.1086207702755928,0,2018-01-01,52,5,7,300.2587890625,R_A4,0.0,1633.16015625,300.2587890625,STANDARD,32
0.1253560483455658,0,2018-01-01,51,5,8,300.5291748046875,R_A4,0.0,1637.19287109375,300.5291748046875,STANDARD,32
0.053045835345983505,0,2018-01-01,51,4,9,300.4049987792969,R_A4,0.0,1635.3409423828125,300.4049987792969,STANDARD,32
0.05525832250714302,0,2018-01-01,51,4,10,300.4867858886719,R_A4,0.0,1636.56103515625,300.4867858886719,STANDARD,33
0.05873017758131027,0,2018-01-01,50,4,11,300.84771728515625,R_A4,0.0,1641.94384765625,300.84771728515625,STANDARD,33
0.06070065498352051,0,2018-01-01,50,4,12,300.7469787597656,R_A4,0.0,1640.4415283203125,300.7469787597656,STANDARD,34
0.06111970171332359,0,2018-01-01,50,4,13,300.7769470214844,R_A4,0.0,1640.88818359375,300.7769470214844,STANDARD,35
0.1586426943540573,0,2018-01-01,50,3,14,300.65521240234375,R_A4,0.0,1639.0726318359375,300.65521240234375,STANDARD,35
0.18181560933589935,0,2018-01-01,49,3,15,300.9846496582031,R_A4,0.0,1643.98583984375,300.9846496582031,STANDARD,35
0.22713030874729156,0,2018-01-01,49,2,16,300.8613586425781,R_A4,0.0,1642.147216796875,300.8613586425781,STANDARD,35
0.3088020086288452,0,2018-01-01,49,29,17,301.0281982421875,R_A4,0.0,1644.635009765625,301.0281982421875,STANDARD,36
0.05667276680469513,0,2018-01-01,48,29,18,301.0474853515625,R_A4,0.0,1644.9227294921875,301.0474853515625,STANDARD,36
0.2539016008377075,0,2018-01-01,48,29,19,301.3936462402344,R_A4,0.0,1650.0848388671875,301.3936462402344,STANDARD,37
0.7179772853851318,0,2018-01-01,48,28,20,301.02008056640625,R_A4,0.0,1644.51416015625,301.02008056640625,STANDARD,37
1.0,0,2018-01-01,48,28,21,301.2255554199219,R_A4,0.0,1647.578369140625,301.2255554199219,STANDARD,38
0.09292116016149521,0,2018-01-01,48,29,22,301.6046447753906,R_A4,0.0,1653.230712890625,301.6046447753906,STANDARD,38
0.7015474438667297,0,2018-01-01,47,29,23,302.16632080078125,R_A4,0.0,1661.604736328125,302.16632080078125,STANDARD,38
1.0,0,2018-01-01,20,1,1,303.9546203613281,R_A5,0.0,1686.193115234375,303.9546203613281,STANDARD,31
1.0,0,2018-01-01,20,2,2,304.16046142578125,R_A5,0.0,1688.365234375,304.16046142578125,STANDARD,31
1.0,0,2018-01-01,20,3,3,304.3663024902344,R_A5,0.0,1690.537353515625,304.3663024902344,STANDARD,31
1.0,0,2018-01-01,20,4,4,304.5721435546875,R_A5,0.0,1692.70947265625,304.5721435546875,STANDARD,31
1.0,0,2018-01-01,20,5,5,304.77801513671875,R_A5,0.0,1694.8817138671875,304.77801513671875,STANDARD,31
1.0,0,2018-01-01,20,6,6,304.9838562011719,R_A5,0.0,1697.0538330078125,304.9838562011719,STANDARD,31
1.0,0,2018-01-01,20,7,7,305.4954833984375,R_A5,0.0,1699.22607421875,305.4954833984375,STANDARD,31
1.0,0,2018-01-01,20,8,8,305.70135498046875,R_A5,0.0,1701.398193359375,305.70135498046875,STANDARD,31
1.0,0,2018-01-01,20,11,9,306.0036315917969,R_A5,0.0,1707.813232421875,306.0036315917969,STANDARD,31
