DEPTH,SWAT,PRESSURE,WELLMODEL,CONIPOS,CONIDX,CONBPRES,DRAWDOWN,DATE,CONJPOS,CONKPOS,SGAS,WELL
1711.537353515625,1.0,270.3368835449219,STANDARD,31,17,270.3368835449219,0,2018-04-28,21,17,-7.476801838247893e-13,R_A5
1713.35400390625,1.0,270.526611328125,STANDARD,31,18,270.526611328125,0,2018-04-28,21,18,-1.2661505958272423e-12,R_A5
1714.3951416015625,1.0,270.6258239746094,STANDARD,31,19,270.6258239746094,0,2018-04-28,21,19,0.0,R_A5
1715.7628173828125,1.0,280.0939636230469,STANDARD,31,20,280.0939636230469,0,2018-04-28,21,27,-1.4899657896361163e-11,R_A5
1718.098388671875,1.0,280.43804931640625,STANDARD,31,21,280.43804931640625,0,2018-04-28,21,28,-8.478460988836645e-12,R_A5
1720.43408203125,1.0,286.31390380859375,STANDARD,31,22,286.31390380859375,0,2018-04-28,21,29,-2.7709749189308016e-19,R_A5
1722.7696533203125,1.0,280.4284973144531,STANDARD,31,23,280.4284973144531,0,2018-04-28,21,30,-2.2708211315025997e-14,R_A5
1725.105224609375,1.0,282.4326171875,STANDARD,31,24,282.4326171875,0,2018-04-28,21,31,-9.75513564208749e-21,R_A5
1609.243408203125,0.6495802402496338,276.0455627441406,STANDARD,28,1,276.0455627441406,0,2018-07-03,41,1,0.0,R_A3
1611.3077392578125,0.19773824512958527,276.1500549316406,STANDARD,28,2,276.1500549316406,0,2018-07-03,41,2,0.0,R_A3
1613.3720703125,0.1585332751274109,276.2865295410156,STANDARD,28,3,276.2865295410156,0,2018-07-03,41,3,0.0,R_A3
1615.4365234375,0.17327725887298584,276.4236145019531,STANDARD,28,4,276.4236145019531,0,2018-07-03,41,4,0.0,R_A3
1617.5008544921875,0.6506714820861816,276.5394287109375,STANDARD,28,5,276.5394287109375,0,2018-07-03,41,5,0.0,R_A3
1619.565185546875,0.3378829061985016,276.7205505371094,STANDARD,28,6,276.7205505371094,0,2018-07-03,41,6,0.0,R_A3
1609.3663330078125,0.6500380635261536,276.0874328613281,STANDARD,29,7,276.0874328613281,0,2018-07-03,41,6,0.0,R_A3
1611.4163818359375,0.19841444492340088,276.25494384765625,STANDARD,29,8,276.25494384765625,0,2018-07-03,41,7,0.0,R_A3
1613.46630859375,0.3522583544254303,276.3933410644531,STANDARD,29,9,276.3933410644531,0,2018-07-03,41,8,0.0,R_A3
1615.516357421875,0.8013712167739868,276.6195068359375,STANDARD,29,10,276.6195068359375,0,2018-07-03,41,9,0.0,R_A3
1617.5662841796875,0.7959204316139221,277.6990051269531,STANDARD,29,11,277.6990051269531,0,2018-07-03,41,10,0.0,R_A3
1619.750732421875,0.049109067767858505,295.5464172363281,STANDARD,29,12,295.5464172363281,0,2018-07-03,41,11,0.0,R_A3
1622.0697021484375,0.054874446243047714,295.70172119140625,STANDARD,29,13,295.70172119140625,0,2018-07-03,41,12,0.0,R_A3
1624.388671875,0.372146338224411,295.8572082519531,STANDARD,29,14,295.8572082519531,0,2018-07-03,41,13,0.0,R_A3
1629.026611328125,0.4873518645763397,296.6537170410156,STANDARD,29,15,296.6537170410156,0,2018-07-03,41,15,0.0,R_A3
1630.9468994140625,0.8074904084205627,296.7845458984375,STANDARD,29,16,296.7845458984375,0,2018-07-03,41,16,0.0,R_A3
