DEPTH,WELLMODEL,CONJPOS,PRESSURE,SWAT,CONBPRES,CONIPOS,DRAWDOWN,CONKPOS,WELL,DATE,SGAS,CONIDX
1727.72314453125,STANDARD,42,308.1962585449219,1.0,308.1962585449219,17,0,28,R_A6,2018-01-01,0.0,20
1729.42333984375,STANDARD,42,308.3573913574219,1.0,308.3573913574219,17,0,29,R_A6,2018-01-01,0.0,21
1731.12353515625,STANDARD,42,308.5185546875,1.0,308.5185546875,17,0,30,R_A6,2018-01-01,0.0,22
1732.82373046875,STANDARD,42,308.3739013671875,1.0,308.3739013671875,17,0,31,R_A6,2018-01-01,0.0,23
1641.0418701171875,STANDARD,30,298.9513244628906,0.05631791055202484,298.9513244628906,22,0,1,R_A2,2018-03-01,0.0,1
1642.8031005859375,STANDARD,30,299.06939697265625,0.05833710357546806,299.06939697265625,22,0,2,R_A2,2018-03-01,0.0,2
1644.564453125,STANDARD,30,299.18743896484375,0.06354526430368423,299.18743896484375,22,0,3,R_A2,2018-03-01,0.0,3
1646.32568359375,STANDARD,30,299.3055114746094,0.06868947297334671,299.3055114746094,22,0,4,R_A2,2018-03-01,0.0,4
1648.0869140625,STANDARD,30,299.423583984375,0.07046639174222946,299.423583984375,22,0,5,R_A2,2018-03-01,0.0,5
1649.84814453125,STANDARD,30,299.533935546875,0.32066479325294495,299.533935546875,22,0,6,R_A2,2018-03-01,0.0,6
1651.609375,STANDARD,30,299.4888000488281,0.8900637030601501,299.4888000488281,22,0,7,R_A2,2018-03-01,0.0,7
1653.37060546875,STANDARD,30,299.5184020996094,0.8776710629463196,299.5184020996094,22,0,8,R_A2,2018-03-01,0.0,8
1655.1318359375,STANDARD,30,299.5835876464844,0.2190200239419937,299.5835876464844,22,0,9,R_A2,2018-03-01,0.0,9
1656.8931884765625,STANDARD,30,299.47967529296875,0.6483455896377563,299.47967529296875,22,0,10,R_A2,2018-03-01,0.0,10
1658.802734375,STANDARD,30,299.2829284667969,0.07663306593894958,299.2829284667969,22,0,11,R_A2,2018-03-01,0.0,11
1660.8604736328125,STANDARD,30,299.784912109375,0.08080285787582397,299.784912109375,22,0,12,R_A2,2018-03-01,0.0,12
1662.918212890625,STANDARD,30,299.8515930175781,0.47603341937065125,299.8515930175781,22,0,13,R_A2,2018-03-01,0.0,13
1664.434814453125,STANDARD,29,299.4996032714844,0.535515308380127,299.4996032714844,22,0,14,R_A2,2018-03-01,0.0,14
1666.651611328125,STANDARD,29,299.65765380859375,0.9664549827575684,299.65765380859375,22,0,15,R_A2,2018-03-01,0.0,15
1668.8685302734375,STANDARD,29,299.813720703125,0.9784120917320251,299.813720703125,22,0,16,R_A2,2018-03-01,0.0,16
1671.0853271484375,STANDARD,29,299.9651794433594,0.9499719142913818,299.9651794433594,22,0,17,R_A2,2018-03-01,0.0,17
1673.038330078125,STANDARD,29,300.0967712402344,0.9947060346603394,300.0967712402344,22,0,18,R_A2,2018-03-01,0.0,18
1674.8282470703125,STANDARD,29,302.0022888183594,0.6482137441635132,302.0022888183594,22,0,27,R_A2,2018-03-01,0.0,19
1676.6717529296875,STANDARD,29,301.7594299316406,0.9999808669090271,301.7594299316406,22,0,28,R_A2,2018-03-01,0.0,20
1678.515380859375,STANDARD,29,300.3691711425781,0.9999999403953552,300.3691711425781,22,0,29,R_A2,2018-03-01,-2.891110906233507e-09,21
1680.35888671875,STANDARD,29,302.167724609375,1.0,302.167724609375,22,0,30,R_A2,2018-03-01,-1.8990045647093723e-11,22
1682.202392578125,STANDARD,29,303.0812072753906,1.0,303.0812072753906,22,0,31,R_A2,2018-03-01,-3.234426479903005e-14,23
1684.6915283203125,STANDARD,20,281.6488342285156,1.0,281.6488342285156,31,0,1,R_A5,2018-04-28,-1.144509487183143e-10,1
1687.084716796875,STANDARD,20,281.8753967285156,1.0,281.8753967285156,31,0,2,R_A5,2018-04-28,-9.438733822308976e-11,2
1689.47802734375,STANDARD,20,282.1021423339844,1.0,282.1021423339844,31,0,3,R_A5,2018-04-28,-1.0886843510027333e-10,3
