CONIDX,DEPTH,DATE,CONKPOS,CONIPOS,CONJPOS,PRESSURE,WELLMODEL,WELL,SWAT,SGAS,DRAWDOWN,CONBPRES
1,1694.1375732421875,2018-01-01,1,17,42,305.0132751464844,STANDARD,R_A6,1.0,0.0,0,305.0132751464844
2,1695.6697998046875,2018-01-01,2,17,42,305.1584777832031,STANDARD,R_A6,1.0,0.0,0,305.1584777832031
3,1697.2021484375,2018-01-01,3,17,42,305.3036804199219,STANDARD,R_A6,1.0,0.0,0,305.3036804199219
4,1698.734375,2018-01-01,4,17,42,305.4488830566406,STANDARD,R_A6,1.0,0.0,0,305.4488830566406
5,1700.2666015625,2018-01-01,5,17,42,305.5941162109375,STANDARD,R_A6,1.0,0.0,0,305.5941162109375
6,1701.7989501953125,2018-01-01,6,17,42,305.73931884765625,STANDARD,R_A6,1.0,0.0,0,305.73931884765625
7,1703.3311767578125,2018-01-01,7,17,42,305.5854797363281,STANDARD,R_A6,1.0,0.0,0,305.5854797363281
8,1704.8634033203125,2018-01-01,8,17,42,305.7306823730469,STANDARD,R_A6,1.0,0.0,0,305.7306823730469
9,1706.395751953125,2018-01-01,9,17,42,306.1749572753906,STANDARD,R_A6,1.0,0.0,0,306.1749572753906
10,1707.927978515625,2018-01-01,10,17,42,306.0143737792969,STANDARD,R_A6,1.0,0.0,0,306.0143737792969
11,1709.8734130859375,2018-01-01,11,17,42,306.1988830566406,STANDARD,R_A6,1.0,0.0,0,306.1988830566406
12,1712.23193359375,2018-01-01,12,17,42,306.4223937988281,STANDARD,R_A6,1.0,0.0,0,306.4223937988281
13,1714.590576171875,2018-01-01,13,17,42,306.65789794921875,STANDARD,R_A6,1.0,0.0,0,306.65789794921875
14,1716.948974609375,2018-01-01,14,17,42,306.88140869140625,STANDARD,R_A6,1.0,0.0,0,306.88140869140625
15,1719.3074951171875,2018-01-01,15,17,42,307.1049499511719,STANDARD,R_A6,1.0,0.0,0,307.1049499511719
16,1721.6661376953125,2018-01-01,16,17,42,307.4735107421875,STANDARD,R_A6,1.0,0.0,0,307.4735107421875
17,1724.0203857421875,2018-01-01,17,17,42,307.6966247558594,STANDARD,R_A6,1.0,0.0,0,307.6966247558594
18,1725.34033203125,2018-01-01,18,17,42,307.82171630859375,STANDARD,R_A6,1.0,0.0,0,307.82171630859375
19,1726.33935546875,2018-01-01,26,17,42,307.75933837890625,STANDARD,R_A6,1.0,0.0,0,307.75933837890625
20,1728.047607421875,2018-01-01,27,17,42,308.2270202636719,STANDARD,R_A6,1.0,0.0,0,308.2270202636719
21,1729.755859375,2018-01-01,28,17,42,308.388916015625,STANDARD,R_A6,1.0,0.0,0,308.388916015625
22,1731.4639892578125,2018-01-01,29,17,42,308.5508117675781,STANDARD,R_A6,1.0,0.0,0,308.5508117675781
23,1733.1722412109375,2018-01-01,30,17,42,308.40692138671875,STANDARD,R_A6,1.0,0.0,0,308.40692138671875
1,1640.1627197265625,2018-03-01,1,22,30,296.9093322753906,STANDARD,R_A2,0.05369502678513527,0.0,0,296.9093322753906
2,1641.951171875,2018-03-01,2,22,30,297.0291442871094,STANDARD,R_A2,0.05523063987493515,0.0,0,297.0291442871094
3,1643.73974609375,2018-03-01,3,22,30,297.1489562988281,STANDARD,R_A2,0.0592527836561203,0.0,0,297.1489562988281
4,1645.5281982421875,2018-03-01,4,22,30,297.2687683105469,STANDARD,R_A2,0.0637592300772667,0.0,0,297.2687683105469
5,1647.3167724609375,2018-03-01,5,22,30,297.3885803222656,STANDARD,R_A2,0.06647048145532608,0.0,0,297.3885803222656
6,1649.105224609375,2018-03-01,6,22,30,297.54595947265625,STANDARD,R_A2,0.3068973124027252,0.0,0,297.54595947265625
7,1650.893798828125,2018-03-01,7,22,30,297.678955078125,STANDARD,R_A2,0.8704457879066467,0.0,0,297.678955078125
8,1652.6822509765625,2018-03-01,8,22,30,297.80755615234375,STANDARD,R_A2,0.8548319935798645,0.0,0,297.80755615234375
9,1654.470703125,2018-03-01,9,22,30,298.2674560546875,STANDARD,R_A2,0.8976127505302429,0.0,0,298.2674560546875
10,1656.25927734375,2018-03-01,10,22,30,298.7533874511719,STANDARD,R_A2,0.9058563113212585,0.0,0,298.7533874511719
11,1658.1827392578125,2018-03-01,11,22,30,298.6602478027344,STANDARD,R_A2,0.07056912034749985,0.0,0,298.6602478027344
12,1662.2994384765625,2018-03-01,13,22,30,299.77703857421875,STANDARD,R_A2,0.4320398271083832,0.0,0,299.77703857421875
13,1664.3577880859375,2018-03-01,14,22,30,299.9151916503906,STANDARD,R_A2,0.4789949655532837,0.0,0,299.9151916503906
14,1666.416259765625,2018-03-01,15,22,30,300.05218505859375,STANDARD,R_A2,0.9094831943511963,0.0,0,300.05218505859375
15,1668.474609375,2018-03-01,16,22,30,300.18890380859375,STANDARD,R_A2,0.9261808395385742,0.0,0,300.18890380859375
16,1670.532958984375,2018-03-01,17,22,30,300.326416015625,STANDARD,R_A2,0.8844119906425476,0.0,0,300.326416015625
17,1672.8055419921875,2018-03-01,17,22,29,300.1357727050781,STANDARD,R_A2,0.9356184005737305,0.0,0,300.1357727050781
18,1674.661376953125,2018-03-01,18,22,29,300.25994873046875,STANDARD,R_A2,0.965578019618988,0.0,0,300.25994873046875
19,1676.686279296875,2018-03-01,26,22,29,301.692138671875,STANDARD,R_A2,1.0,3.6991002844372414e-14,0,301.692138671875
20,1678.46630859375,2018-03-01,27,22,29,301.39874267578125,STANDARD,R_A2,0.8117524981498718,0.0,0,301.39874267578125
21,1680.246337890625,2018-03-01,28,22,29,300.90631103515625,STANDARD,R_A2,0.999183714389801,0.0,0,300.90631103515625
22,1682.0263671875,2018-03-01,29,22,29,301.0779724121094,STANDARD,R_A2,0.9979346394538879,0.0,0,301.0779724121094
23,1683.806396484375,2018-03-01,30,22,29,301.2415771484375,STANDARD,R_A2,0.9999991059303284,0.0,0,301.2415771484375
1,1685.238525390625,2018-04-28,1,31,20,281.30267333984375,STANDARD,R_A5,1.0,9.800056599562623e-12,0,281.30267333984375
2,1687.4189453125,2018-04-28,2,31,20,281.50927734375,STANDARD,R_A5,1.0,1.2224637968571983e-11,0,281.50927734375
3,1689.5992431640625,2018-04-28,3,31,20,281.7159118652344,STANDARD,R_A5,1.0,1.3375289591166517e-11,0,281.7159118652344
4,1691.7796630859375,2018-04-28,4,31,20,281.92242431640625,STANDARD,R_A5,1.0,1.1723372272953725e-11,0,281.92242431640625
5,1693.9600830078125,2018-04-28,5,31,20,282.12896728515625,STANDARD,R_A5,1.0,1.2012385010307103e-11,0,282.12896728515625
6,1696.1405029296875,2018-04-28,6,31,20,282.3353576660156,STANDARD,R_A5,1.0,9.539169801286995e-12,0,282.3353576660156
7,1698.3209228515625,2018-04-28,7,31,20,282.8537902832031,STANDARD,R_A5,1.0,2.8533375477906436e-14,0,282.8537902832031
8,1702.6817626953125,2018-04-28,9,31,20,283.6810302734375,STANDARD,R_A5,1.0,1.036258982705278e-16,0,283.6810302734375
9,1704.8621826171875,2018-04-28,10,31,20,282.7274475097656,STANDARD,R_A5,1.0,-2.4102701561365012e-15,0,282.7274475097656
10,1706.939208984375,2018-04-28,11,31,20,282.4904479980469,STANDARD,R_A5,1.0,3.4761900389451705e-12,0,282.4904479980469
11,1701.2138671875,2018-04-28,11,31,21,281.1974182128906,STANDARD,R_A5,1.0,4.8323502317704214e-12,0,281.1974182128906
12,1703.18408203125,2018-04-28,12,31,21,281.38409423828125,STANDARD,R_A5,1.0,4.291976496428873e-12,0,281.38409423828125
13,1705.154296875,2018-04-28,13,31,21,281.5828857421875,STANDARD,R_A5,1.0,1.7219488638794966e-13,0,281.5828857421875
14,1707.12451171875,2018-04-28,14,31,21,281.7699279785156,STANDARD,R_A5,1.0,2.328406835828273e-13,0,281.7699279785156
15,1709.0947265625,2018-04-28,15,31,21,281.9571533203125,STANDARD,R_A5,1.0,8.299840036172373e-14,0,281.9571533203125
16,1711.06494140625,2018-04-28,16,31,21,282.2936096191406,STANDARD,R_A5,1.0,1.0458744398420157e-14,0,282.2936096191406
17,1713.0205078125,2018-04-28,17,31,21,282.4833984375,STANDARD,R_A5,1.0,1.3623215443648966e-14,0,282.4833984375
18,1714.373779296875,2018-04-28,18,31,21,282.6123962402344,STANDARD,R_A5,1.0,1.646011343718612e-14,0,282.6123962402344
19,1715.0042724609375,2018-04-28,19,31,21,282.6721496582031,STANDARD,R_A5,1.0,0.0,0,282.6721496582031
20,1716.4306640625,2018-04-28,26,31,21,286.8894958496094,STANDARD,R_A5,1.0,4.633522637299305e-15,0,286.8894958496094
21,1718.6522216796875,2018-04-28,27,31,21,287.10272216796875,STANDARD,R_A5,1.0,4.947513939198211e-15,0,287.10272216796875
22,1720.873779296875,2018-04-28,28,31,21,287.0959167480469,STANDARD,R_A5,1.0,1.9357186454549953e-18,0,287.0959167480469
23,1723.095458984375,2018-04-28,29,31,21,297.005126953125,STANDARD,R_A5,1.0,-1.624696419998694e-21,0,297.005126953125
24,1725.31689453125,2018-04-28,30,31,21,304.5555725097656,STANDARD,R_A5,1.0,-1.534871895812377e-22,0,304.5555725097656
1,1607.847900390625,2018-07-03,1,28,41,277.3401184082031,STANDARD,R_A3,0.13146641850471497,0.0,0,277.3401184082031
2,1609.76025390625,2018-07-03,2,28,41,277.4675598144531,STANDARD,R_A3,0.14839138090610504,0.0,0,277.4675598144531
3,1611.672607421875,2018-07-03,3,28,41,277.5950927734375,STANDARD,R_A3,0.1925835907459259,0.0,0,277.5950927734375
4,1613.5850830078125,2018-07-03,4,28,41,277.7321472167969,STANDARD,R_A3,0.6678917407989502,0.0,0,277.7321472167969
5,1610.0318603515625,2018-07-03,4,29,41,277.45770263671875,STANDARD,R_A3,0.6689621806144714,0.0,0,277.45770263671875
6,1611.86328125,2018-07-03,5,29,41,278.55767822265625,STANDARD,R_A3,0.789139986038208,0.0,0,278.55767822265625
7,1613.6947021484375,2018-07-03,6,29,41,278.6961975097656,STANDARD,R_A3,0.6495764851570129,0.0,0,278.6961975097656
8,1615.526123046875,2018-07-03,7,29,41,278.8829040527344,STANDARD,R_A3,0.19684743881225586,0.0,0,278.8829040527344
9,1617.357421875,2018-07-03,8,29,41,279.00531005859375,STANDARD,R_A3,0.20105500519275665,0.0,0,279.00531005859375
10,1619.1888427734375,2018-07-03,9,29,41,279.212158203125,STANDARD,R_A3,0.8023621439933777,0.0,0,279.212158203125
11,1621.020263671875,2018-07-03,10,29,41,281.482666015625,STANDARD,R_A3,0.7903454899787903,0.0,0,281.482666015625
12,1623.0546875,2018-07-03,11,29,41,288.77362060546875,STANDARD,R_A3,0.04853585734963417,0.0,0,288.77362060546875
13,1625.2921142578125,2018-07-03,12,29,41,288.9232482910156,STANDARD,R_A3,0.05594189465045929,0.0,0,288.9232482910156
14,1627.529541015625,2018-07-03,13,29,41,289.0754089355469,STANDARD,R_A3,0.37049001455307007,0.0,0,289.0754089355469
15,1629.76708984375,2018-07-03,14,29,41,289.48089599609375,STANDARD,R_A3,0.3508184850215912,0.0,0,289.48089599609375
16,1631.94482421875,2018-07-03,15,29,41,289.8043518066406,STANDARD,R_A3,0.7968997359275818,0.0,0,289.8043518066406
17,1633.241943359375,2018-07-03,16,29,41,289.89111328125,STANDARD,R_A3,0.7833953499794006,0.0,0,289.89111328125
18,1635.08251953125,2018-07-03,26,29,41,287.2287902832031,STANDARD,R_A3,1.0,-2.3376869884295104e-11,0,287.2287902832031
19,1638.28759765625,2018-07-03,27,29,41,284.6567687988281,STANDARD,R_A3,0.04670083522796631,0.0,0,284.6567687988281
20,1641.49267578125,2018-07-03,28,29,41,284.8708190917969,STANDARD,R_A3,0.04698657989501953,0.0,0,284.8708190917969
21,1644.69775390625,2018-07-03,29,29,41,285.0854187011719,STANDARD,R_A3,0.6538553833961487,0.0,0,285.0854187011719
22,1647.9029541015625,2018-07-03,30,29,41,285.1996765136719,STANDARD,R_A3,0.6530199646949768,0.0,0,285.1996765136719
1,1629.423095703125,2018-09-12,1,30,52,278.8860778808594,STANDARD,R_A4,0.047685831785202026,0.0,0,278.8860778808594
2,1625.382080078125,2018-09-12,1,31,52,278.6891784667969,STANDARD,R_A4,0.04773509502410889,0.0,0,278.6891784667969
3,1627.5263671875,2018-09-12,2,31,52,278.8321533203125,STANDARD,R_A4,0.0483260303735733,0.0,0,278.8321533203125
4,1629.6707763671875,2018-09-12,3,31,52,278.9751281738281,STANDARD,R_A4,0.04967091232538223,0.0,0,278.9751281738281
5,1631.815185546875,2018-09-12,4,31,52,279.1180725097656,STANDARD,R_A4,0.051856547594070435,0.0,0,279.1180725097656
6,1633.95947265625,2018-09-12,5,31,52,279.2610168457031,STANDARD,R_A4,0.054933492094278336,0.0,0,279.2610168457031
7,1633.1556396484375,2018-09-12,5,32,52,279.2906799316406,STANDARD,R_A4,0.05445835366845131,0.0,0,279.2906799316406
8,1635.09130859375,2018-09-12,6,32,52,279.4197082519531,STANDARD,R_A4,0.05678350850939751,0.0,0,279.4197082519531
9,1635.51513671875,2018-09-12,6,32,51,279.353759765625,STANDARD,R_A4,0.05625830590724945,0.0,0,279.353759765625
10,1633.6885986328125,2018-09-12,5,32,51,279.232177734375,STANDARD,R_A4,0.05603964626789093,0.0,0,279.232177734375
11,1637.3138427734375,2018-09-12,5,33,51,279.5791320800781,STANDARD,R_A4,0.058289721608161926,0.0,0,279.5791320800781
12,1635.4739990234375,2018-09-12,4,33,51,279.4564514160156,STANDARD,R_A4,0.05713240057229996,0.0,0,279.4564514160156
13,1639.539794921875,2018-09-12,4,33,50,279.6300354003906,STANDARD,R_A4,0.059743382036685944,0.0,0,279.6300354003906
14,1639.595947265625,2018-09-12,4,34,50,279.72216796875,STANDARD,R_A4,0.06072813645005226,0.0,0,279.72216796875
15,1644.0771484375,2018-09-12,4,35,50,280.0805358886719,STANDARD,R_A4,0.06275849044322968,0.0,0,280.0805358886719
16,1642.2032470703125,2018-09-12,3,35,50,279.95587158203125,STANDARD,R_A4,0.22590923309326172,0.0,0,279.95587158203125
17,1640.3292236328125,2018-09-12,2,35,50,279.83111572265625,STANDARD,R_A4,0.22679409384727478,0.0,0,279.83111572265625
18,1643.327392578125,2018-09-12,2,35,49,279.90069580078125,STANDARD,R_A4,0.23444914817810059,0.0,0,279.90069580078125
19,1641.400390625,2018-09-12,1,35,49,279.7698974609375,STANDARD,R_A4,0.22830353677272797,0.0,0,279.7698974609375
20,1644.4359130859375,2018-09-12,29,36,49,276.6611022949219,STANDARD,R_A4,0.651282787322998,0.0,0,276.6611022949219
21,1642.075439453125,2018-09-12,29,36,48,276.358154296875,STANDARD,R_A4,0.22646333277225494,0.0,0,276.358154296875
22,1651.8681640625,2018-09-12,29,37,48,277.106201171875,STANDARD,R_A4,0.6517163515090942,0.0,0,277.106201171875
23,1646.4482421875,2018-09-12,28,37,48,280.4232177734375,STANDARD,R_A4,1.0,-2.6392740770653234e-10,0,280.4232177734375
24,1655.39208984375,2018-09-12,28,38,48,281.59344482421875,STANDARD,R_A4,0.8562073707580566,0.0,0,281.59344482421875
25,1649.8236083984375,2018-09-12,27,38,48,277.179443359375,STANDARD,R_A4,0.12855035066604614,0.0,0,277.179443359375
26,1654.935302734375,2018-09-12,27,38,47,277.4071350097656,STANDARD,R_A4,0.0718608945608139,0.0,0,277.4071350097656
1,1694.1375732421875,2018-11-07,1,17,42,273.8025817871094,STANDARD,R_A6,1.0,-1.155743903358264e-10,0,273.8025817871094
