SGAS,CONIDX,WELL,WELLMODEL,CONBPRES,CONJPOS,SWAT,CONIPOS,DEPTH,PRESSURE,CONKPOS,DRAWDOWN,DATE
0.0,13,R_A6,STANDARD,306.7630920410156,42,1.0,17,1715.7005615234375,306.7630920410156,13,0,2018-01-01
0.0,14,R_A6,STANDARD,306.9798278808594,42,1.0,17,1717.9874267578125,306.9798278808594,14,0,2018-01-01
0.0,15,R_A6,STANDARD,307.19659423828125,42,1.0,17,1720.2744140625,307.19659423828125,15,0,2018-01-01
0.0,16,R_A6,STANDARD,307.558349609375,42,1.0,17,1722.561279296875,307.558349609375,16,0,2018-01-01
0.0,17,R_A6,STANDARD,307.77508544921875,42,1.0,17,1724.8482666015625,307.77508544921875,17,0,2018-01-01
0.0,18,R_A6,STANDARD,307.92950439453125,42,1.0,17,1726.4774169921875,307.92950439453125,18,0,2018-01-01
0.0,19,R_A6,STANDARD,307.90020751953125,42,1.0,17,1727.825927734375,307.90020751953125,27,0,2018-01-01
0.0,20,R_A6,STANDARD,308.3695373535156,42,1.0,17,1729.55126953125,308.3695373535156,28,0,2018-01-01
0.0,21,R_A6,STANDARD,308.5330505371094,42,1.0,17,1731.276611328125,308.5330505371094,29,0,2018-01-01
0.0,22,R_A6,STANDARD,308.69659423828125,42,1.0,17,1733.0020751953125,308.69659423828125,30,0,2018-01-01
0.0,23,R_A6,STANDARD,308.5543518066406,42,1.0,17,1734.7274169921875,308.5543518066406,31,0,2018-01-01
0.0,1,R_A2,STANDARD,299.0899658203125,30,0.060146514326334,22,1642.8006591796875,299.0899658203125,1,0,2018-03-01
0.0,2,R_A2,STANDARD,299.2165832519531,30,0.061468031257390976,22,1644.689697265625,299.2165832519531,2,0,2018-03-01
0.0,3,R_A2,STANDARD,299.3432312011719,30,0.06458500027656555,22,1646.578857421875,299.3432312011719,3,0,2018-03-01
0.0,4,R_A2,STANDARD,299.4698486328125,30,0.07286767661571503,22,1648.4678955078125,299.4698486328125,4,0,2018-03-01
0.0,5,R_A2,STANDARD,299.59649658203125,30,0.07540334761142731,22,1650.35693359375,299.59649658203125,5,0,2018-03-01
0.0,6,R_A2,STANDARD,299.7294921875,30,0.3234013020992279,22,1652.2459716796875,299.7294921875,6,0,2018-03-01
0.0,7,R_A2,STANDARD,299.86309814453125,30,0.9133704900741577,22,1654.135009765625,299.86309814453125,7,0,2018-03-01
0.0,8,R_A2,STANDARD,299.9945983886719,30,0.9127308130264282,22,1656.024169921875,299.9945983886719,8,0,2018-03-01
0.0,9,R_A2,STANDARD,300.34014892578125,30,0.9359833002090454,22,1657.913330078125,300.34014892578125,9,0,2018-03-01
