CONJPOS,SWAT,DRAWDOWN,WELLMODEL,DEPTH,WELL,CONIDX,CONKPOS,CONBPRES,DATE,SGAS,PRESSURE,CONIPOS
41,0.3742901384830475,0,STANDARD,1626.833740234375,R_A3,15,14,291.4578552246094,2018-07-03,0.0,291.4578552246094,29
41,0.5024396777153015,0,STANDARD,1629.160400390625,R_A3,16,15,291.24090576171875,2018-07-03,0.0,291.24090576171875,29
41,0.8092134594917297,0,STANDARD,1630.9991455078125,R_A3,17,16,291.34906005859375,2018-07-03,0.0,291.34906005859375,29
41,0.6527009010314941,0,STANDARD,1633.517333984375,R_A3,18,27,290.97393798828125,2018-07-03,0.0,290.97393798828125,29
41,0.047711171209812164,0,STANDARD,1637.175048828125,R_A3,19,28,291.2119445800781,2018-07-03,0.0,291.2119445800781,29
41,0.090922512114048,0,STANDARD,1640.832763671875,R_A3,20,29,291.45660400390625,2018-07-03,0.0,291.45660400390625,29
41,1.0,0,STANDARD,1644.490478515625,R_A3,21,30,293.7579650878906,2018-07-03,-2.018381461965646e-09,293.7579650878906,29
41,0.06752900034189224,0,STANDARD,1648.148193359375,R_A3,22,31,291.9380798339844,2018-07-03,0.0,291.9380798339844,29
52,0.057219330221414566,0,STANDARD,1633.8726806640625,R_A4,1,1,282.603759765625,2018-09-12,0.0,282.603759765625,30
52,0.0525624044239521,0,STANDARD,1626.7254638671875,R_A4,2,1,282.29400634765625,2018-09-12,0.0,282.29400634765625,31
52,0.05359148234128952,0,STANDARD,1628.7906494140625,R_A4,3,2,282.4316711425781,2018-09-12,0.0,282.4316711425781,31
52,0.0537148043513298,0,STANDARD,1630.855712890625,R_A4,4,3,282.5692443847656,2018-09-12,0.0,282.5692443847656,31
52,0.05594305321574211,0,STANDARD,1632.9208984375,R_A4,5,4,282.7067565917969,2018-09-12,0.0,282.7067565917969,31
52,0.05836376175284386,0,STANDARD,1634.986083984375,R_A4,6,5,282.8440856933594,2018-09-12,0.0,282.8440856933594,31
52,0.055368002504110336,0,STANDARD,1630.2183837890625,R_A4,7,5,282.735595703125,2018-09-12,0.0,282.735595703125,32
52,0.054542604833841324,0,STANDARD,1632.06787109375,R_A4,8,6,282.8589782714844,2018-09-12,0.0,282.8589782714844,32
